도시,날짜,PM25,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,벤젠,톨루엔,자일렌,AQI,AQI등급
Jorapokhar,2019-01-13,179.51,300.54,10.77,11.66,,6.35,,91.58,18.36,,,,345.0,Very Poor
Hyderabad,2017-09-06,29.32,70.96,10.13,19.22,8.58,5.72,0.19,4.97,24.76,0.62,3.19,1.88,86.0,Satisfactory
Chennai,2017-03-29,35.04,,4.82,9.35,7.99,,0.0,3.47,15.58,0.06,0.0,,61.0,Satisfactory
Jorapokhar,2018-02-26,,130.66,9.4,8.5,,6.86,0.35,,42.07,,,,172.0,Moderate
Gurugram,2017-08-15,38.83,,0.09,30.16,,,0.96,4.94,32.28,0.0,0.0,,69.0,Satisfactory
Gurugram,2016-04-04,76.29,,21.73,43.72,25.75,,1.37,21.97,17.55,,,,,
Talcher,2018-04-04,53.48,113.22,16.74,19.8,22.98,10.65,1.57,73.0,16.1,0.0,0.0,,120.0,Moderate
Ahmedabad,2017-11-21,111.92,,15.17,81.11,50.89,,15.17,112.56,62.34,10.59,22.64,32.4,371.0,Very Poor
Hyderabad,2016-03-21,56.19,105.42,5.62,3.0,5.66,10.22,1.66,9.28,28.03,2.99,15.19,5.6,112.0,Moderate
Thiruvananthapuram,2018-05-27,10.94,27.03,2.94,8.48,6.89,2.12,0.74,4.98,56.46,,,,69.0,Satisfactory
Lucknow,2015-06-26,35.19,,2.01,9.24,3.97,,2.66,11.25,24.84,0.11,0.22,,188.0,Moderate
Thiruvananthapuram,2019-11-02,22.02,37.35,0.58,3.87,2.47,1.55,1.04,5.44,30.05,,,,69.0,Satisfactory
Mumbai,2018-10-20,48.89,120.56,31.76,26.09,57.87,,1.62,16.53,39.44,0.88,,,,
Patna,2018-02-14,107.21,,6.58,22.2,9.93,,0.88,30.96,42.16,0.35,2.9,0.88,302.0,Very Poor
Gurugram,2016-03-26,40.5,,,35.09,14.5,,1.37,11.97,17.07,,,,,
Ahmedabad,2018-01-12,110.34,,30.4,150.93,94.57,,30.4,95.48,47.58,16.99,102.25,16.31,898.0,Severe
Delhi,2015-01-08,229.9,360.95,23.34,43.16,51.21,138.13,11.01,3.31,30.51,5.8,11.4,4.83,383.0,Very Poor
Thiruvananthapuram,2020-07-01,2.0,35.0,1.68,2.3,2.58,5.62,0.42,6.15,22.1,,,,41.0,Good
Visakhapatnam,2018-08-10,53.32,107.32,17.93,45.44,38.74,12.2,0.64,7.69,11.07,5.74,17.27,3.98,107.0,Moderate
Visakhapatnam,2018-03-27,48.2,107.48,12.51,40.51,31.57,10.91,0.67,24.17,13.97,4.89,7.96,2.8,110.0,Moderate
Chennai,2020-04-25,10.46,,5.23,11.07,15.0,28.33,0.68,4.79,41.7,0.2,0.0,,67.0,Satisfactory
Delhi,2015-03-02,53.71,60.15,11.02,13.43,20.48,19.11,10.19,3.21,22.08,0.91,3.45,0.69,226.0,Poor
Delhi,2017-03-27,156.38,218.98,38.44,79.24,40.77,52.56,0.33,17.55,23.49,1.53,2.67,,278.0,Poor
Hyderabad,2019-05-01,36.43,111.66,2.86,24.25,15.02,15.53,0.56,5.57,40.78,0.92,4.44,0.41,96.0,Satisfactory
Chennai,2017-08-11,46.18,,6.57,11.49,9.05,,0.05,3.69,27.68,0.0,0.22,,61.0,Satisfactory
Visakhapatnam,2018-03-24,54.05,115.06,4.25,31.7,20.32,12.93,0.65,8.25,25.26,4.19,6.07,2.04,116.0,Moderate
Jorapokhar,2019-11-27,136.04,276.18,8.64,9.56,,6.34,,32.44,58.68,,,,306.0,Very Poor
Ahmedabad,2018-02-09,103.17,,108.99,173.67,166.23,,108.99,125.46,42.09,0.74,5.81,3.21,1423.0,Severe
Hyderabad,2016-02-07,61.74,101.15,5.38,8.97,12.97,10.28,0.92,3.82,45.44,0.44,2.67,0.15,121.0,Moderate
Ahmedabad,2018-02-11,84.48,,20.33,99.65,63.78,,20.33,151.24,29.52,0.74,5.81,3.21,471.0,Severe
Patna,2017-12-10,195.21,,112.77,142.62,107.68,,2.69,58.61,27.95,0.74,4.74,2.81,387.0,Very Poor
Lucknow,2016-06-12,94.7,,12.26,45.97,4.89,,1.72,4.99,35.02,0.87,0.42,,185.0,Moderate
Jaipur,2017-07-15,45.02,64.8,9.85,15.55,,3.02,0.8,9.44,1.85,0.0,0.0,,67.0,Satisfactory
Delhi,2015-12-21,135.78,,62.51,78.99,89.78,100.15,29.46,15.59,20.57,3.02,11.55,,313.0,Very Poor
Jorapokhar,2020-06-30,,80.51,25.1,10.8,,9.13,1.68,28.08,30.12,,,,107.0,Moderate
Ahmedabad,2018-03-12,84.19,,51.41,136.64,105.02,,51.41,101.89,50.69,21.27,63.94,9.42,708.0,Severe
Patna,2015-08-13,,,19.37,15.57,34.88,,1.16,5.83,10.07,0.27,1.81,0.75,,
Hyderabad,2018-10-13,58.56,130.27,13.85,46.54,34.65,15.35,0.64,10.8,21.39,4.92,45.43,14.77,118.0,Moderate
Guwahati,2019-08-08,12.02,66.2,4.91,9.24,17.96,8.16,0.35,11.41,15.61,17.42,,,47.0,Good
Guwahati,2020-03-27,118.7,165.09,15.07,23.58,22.74,20.0,0.7,15.54,19.58,0.24,,,270.0,Poor
Mumbai,2018-09-07,27.31,67.46,14.55,31.49,46.03,,0.97,15.23,39.31,0.42,,,65.0,Satisfactory
Mumbai,2015-10-07,,,,,101.49,,0.0,,,0.0,0.0,0.0,,
Ernakulam,2020-05-08,9.96,23.91,10.93,,9.83,39.63,1.72,2.7,,0.12,0.26,0.2,92.0,Satisfactory
Ahmedabad,2018-04-16,73.54,,29.4,62.95,52.65,,29.4,3.3,,9.83,39.22,5.94,660.0,Severe
Thiruvananthapuram,2020-02-26,38.81,60.79,7.97,24.06,27.43,8.65,1.03,5.08,54.66,,,,92.0,Satisfactory
Hyderabad,2017-03-27,57.61,144.64,9.53,39.4,10.9,17.01,0.16,13.08,66.96,0.09,0.97,0.22,164.0,Moderate
Kochi,2020-02-08,49.9,140.63,75.65,14.2,66.72,2.72,1.18,20.81,8.81,,0.0,,118.0,Moderate
Chennai,2020-03-22,39.42,,6.14,5.39,11.4,55.35,0.85,4.84,46.53,0.53,0.61,,71.0,Satisfactory
Jorapokhar,2018-08-31,,146.62,8.54,7.61,,6.67,0.47,46.46,8.14,,,,132.0,Moderate
Ahmedabad,2018-05-19,71.01,,7.69,38.17,24.36,,7.69,106.62,24.78,9.05,35.54,0.93,273.0,Poor
Gurugram,2019-12-21,164.47,324.47,16.87,44.51,43.97,,2.02,22.78,23.62,2.01,6.0,,352.0,Very Poor
Ahmedabad,2018-05-26,60.05,,22.86,40.83,36.98,,22.86,95.07,33.52,16.03,50.15,4.78,587.0,Severe
Patna,2019-07-31,27.05,,6.02,17.07,8.08,,1.04,48.48,60.18,1.02,6.3,4.4,94.0,Satisfactory
Ahmedabad,2018-05-31,16.63,,14.05,73.8,42.09,,14.05,62.47,19.51,4.46,28.21,0.88,,
Jaipur,2018-09-23,15.78,29.29,5.87,12.4,18.27,23.77,0.62,12.14,29.18,0.66,3.29,,54.0,Satisfactory
Delhi,2016-07-28,46.44,68.69,27.67,42.81,68.89,40.28,1.34,9.95,72.25,4.81,18.68,,134.0,Moderate
Chennai,2020-05-08,11.72,,3.96,5.17,8.67,28.94,0.72,4.85,48.61,0.18,0.0,,76.0,Satisfactory
Gurugram,2020-01-11,108.44,179.38,10.64,37.59,33.37,,1.78,6.35,32.18,1.99,5.98,,242.0,Poor
Chennai,2020-05-20,30.39,,7.25,14.36,21.31,45.35,1.01,3.87,46.54,0.15,0.0,,90.0,Satisfactory
Gurugram,2017-12-12,85.9,,24.26,16.58,0.0,,1.49,4.67,19.68,1.48,2.16,,236.0,Poor
Talcher,2019-09-06,15.76,35.12,42.97,7.03,48.64,9.07,1.34,9.21,1.05,1.23,,,84.0,Satisfactory
Ahmedabad,2018-07-11,127.23,,29.02,37.32,39.86,,29.02,26.37,0.38,9.88,43.19,1.07,421.0,Severe
Kolkata,2019-06-18,48.86,86.87,6.12,26.06,29.01,4.27,0.53,2.0,32.25,22.29,6.12,3.63,105.0,Moderate
Hyderabad,2016-01-27,58.2,94.48,5.07,2.75,5.12,10.44,0.81,9.41,28.75,,,,133.0,Moderate
Mumbai,2015-12-19,,,,,101.16,,0.0,,,0.0,0.0,0.0,,
Jaipur,2018-12-14,32.37,74.59,9.44,39.1,36.44,15.67,0.86,9.44,42.84,0.61,3.96,,88.0,Satisfactory
Hyderabad,2017-04-20,49.73,155.18,8.94,35.29,10.53,41.98,0.12,15.24,48.24,0.16,1.49,0.24,131.0,Moderate
Ahmedabad,2018-08-01,63.4,,26.58,48.24,43.36,,26.58,109.6,,5.72,24.87,0.65,453.0,Severe
Ahmedabad,2018-08-05,48.18,,18.31,51.41,38.75,,18.31,104.62,2.81,4.08,19.29,0.65,366.0,Very Poor
Talcher,2020-04-25,15.35,18.85,7.32,21.02,26.32,3.16,2.04,52.14,55.81,0.0,,,101.0,Moderate
Gurugram,2016-08-04,29.94,,3.01,4.93,6.99,,0.31,1.94,,,,,52.0,Satisfactory
Ahmedabad,2018-08-15,48.73,,27.87,47.11,43.78,,27.87,31.19,11.25,5.89,22.14,0.65,459.0,Severe
Gurugram,2019-02-26,41.41,93.91,12.04,23.54,24.96,,0.41,26.83,36.35,0.0,0.0,,108.0,Moderate
Delhi,2017-06-19,60.9,228.2,49.53,36.63,9.3,46.71,0.0,,,0.11,0.0,,150.0,Moderate
Patna,2015-11-06,170.54,,80.22,31.08,111.22,,2.31,7.4,8.11,0.48,2.13,1.23,330.0,Very Poor
Coimbatore,2020-03-28,27.1,29.45,0.62,61.47,62.1,,0.57,7.72,39.8,0.0,0.05,,,
Kolkata,2020-06-21,9.3,27.62,3.97,7.36,11.38,11.6,0.35,5.75,25.04,1.98,9.35,0.94,37.0,Good
Ahmedabad,2018-09-23,21.12,,22.46,66.12,49.02,,22.46,27.9,,3.94,16.02,0.65,410.0,Severe
Delhi,2020-02-07,150.15,253.82,64.24,58.46,88.53,38.38,1.51,14.21,34.75,5.78,31.93,0.44,307.0,Very Poor
Patna,2018-10-05,85.68,,9.27,31.08,13.61,,1.49,22.3,83.71,2.97,30.55,11.6,190.0,Moderate
Gurugram,2017-08-09,34.18,,4.2,30.49,,,1.4,5.41,13.08,0.0,0.0,,,
Ahmedabad,2018-10-09,160.05,,34.65,115.92,82.4,,34.65,90.5,48.77,3.87,21.26,7.16,844.0,Severe
Ahmedabad,2018-10-11,126.66,,33.97,112.69,45.73,,33.97,76.09,55.06,3.87,21.26,7.16,664.0,Severe
Ahmedabad,2018-10-15,109.84,,23.16,104.87,37.85,,23.16,72.69,60.82,3.87,21.26,7.16,427.0,Severe
Ahmedabad,2018-10-21,96.15,,94.41,80.49,71.73,,94.41,76.61,42.8,3.87,21.26,7.16,1291.0,Severe
Ahmedabad,2018-10-24,103.71,,34.72,111.67,45.91,,34.72,54.23,119.43,3.87,21.26,7.16,906.0,Severe
Mumbai,2018-06-06,17.66,,,,36.88,,1.07,27.29,52.91,0.42,,,77.0,Satisfactory
Patna,2016-10-05,115.54,,32.5,21.09,53.63,,1.86,15.48,10.73,0.19,0.66,0.4,241.0,Poor
Chennai,2015-10-06,33.87,,12.56,10.87,17.82,22.41,2.18,12.95,30.89,0.08,0.63,,136.0,Moderate
Kolkata,2019-03-31,50.23,92.3,4.56,26.9,31.47,19.37,0.57,4.4,19.9,1.87,6.16,,106.0,Moderate
Ahmedabad,2018-11-12,91.56,,79.42,118.89,73.26,,79.42,60.97,,21.11,56.47,13.11,1154.0,Severe
Ahmedabad,2018-11-14,143.52,,41.62,138.89,56.23,,41.62,91.74,89.17,3.97,32.2,6.81,820.0,Severe
Patna,2020-04-11,62.28,164.71,66.61,17.67,50.3,15.74,1.53,10.23,31.37,0.62,4.52,0.43,150.0,Moderate
Mumbai,2018-08-12,9.7,42.34,12.42,20.86,33.28,,1.22,11.92,38.31,0.29,,,67.0,Satisfactory
Gurugram,2016-09-20,146.21,,,,,,0.53,2.42,43.39,,,,203.0,Poor
Ahmedabad,2018-12-03,88.02,,25.92,83.26,34.25,,25.92,37.48,42.7,4.07,32.29,6.88,488.0,Severe
Ahmedabad,2018-12-20,106.45,,56.46,78.1,50.03,,56.46,83.62,55.5,4.08,32.39,7.0,967.0,Severe
Talcher,2019-01-25,47.7,182.62,24.96,,23.29,7.07,1.25,16.17,3.1,0.0,,,155.0,Moderate
Mumbai,2018-04-19,,,,,65.51,,1.47,,,0.26,2.04,0.82,,
Lucknow,2019-07-01,67.45,,13.47,20.34,21.15,17.44,1.1,4.37,39.57,0.56,1.81,,124.0,Moderate
Chennai,2017-07-01,56.49,,8.09,14.49,11.51,,0.06,4.63,24.55,0.01,0.02,,116.0,Moderate
Thiruvananthapuram,2018-05-09,23.21,42.75,2.9,13.19,9.36,2.66,1.01,5.79,34.32,,,,67.0,Satisfactory
Ahmedabad,2019-01-11,76.38,,42.44,82.76,43.33,,42.44,70.61,59.68,4.12,32.37,7.02,711.0,Severe
Patna,2019-03-10,140.06,,12.75,6.95,9.54,,1.89,33.56,73.37,2.14,19.01,6.95,316.0,Very Poor
Patna,2018-02-01,214.56,,11.01,15.13,10.81,,2.85,33.66,34.56,0.64,3.36,1.61,390.0,Very Poor
Visakhapatnam,2019-09-27,35.29,116.42,90.84,35.82,89.98,4.86,1.27,36.42,13.48,6.79,18.05,8.06,131.0,Moderate
Ahmedabad,2019-02-03,54.77,,11.01,77.02,24.46,,11.01,64.47,53.55,4.08,32.36,6.94,346.0,Very Poor
Mumbai,2018-05-18,24.09,72.98,26.7,28.27,53.35,,1.27,20.46,39.23,0.68,,,85.0,Satisfactory
Thiruvananthapuram,2018-06-28,14.5,34.99,3.53,5.59,5.83,3.13,0.67,6.63,26.13,,,,51.0,Satisfactory
Ahmedabad,2019-02-08,105.03,,10.13,56.09,18.99,,10.13,41.4,43.09,4.07,32.3,6.97,290.0,Poor
Hyderabad,2015-04-02,,,8.73,14.34,23.06,,0.85,7.94,31.97,0.57,3.61,0.87,,
Visakhapatnam,2016-07-05,17.0,68.0,7.32,25.08,17.66,15.8,0.66,20.08,30.54,2.96,7.8,3.12,,
Mumbai,2017-09-16,,,,,,,0.0,,,0.0,0.0,0.0,,
Jorapokhar,2020-06-04,,163.98,24.24,11.56,,9.15,0.47,30.31,29.56,,,,141.0,Moderate
Kochi,2020-02-18,67.72,131.39,50.98,26.49,50.72,2.26,1.44,21.77,15.38,,0.0,,129.0,Moderate
Ahmedabad,2019-03-03,61.32,,15.88,48.4,20.36,,15.88,49.88,21.17,4.16,32.45,7.04,338.0,Very Poor
Gurugram,2018-02-02,162.5,351.43,39.61,20.99,46.27,,1.52,6.69,20.04,,,,328.0,Very Poor
Ahmedabad,2019-03-10,44.12,,10.66,79.99,24.97,,10.66,60.68,61.08,4.17,32.44,7.06,280.0,Poor
Delhi,2019-11-16,174.03,293.0,23.38,42.35,45.36,35.82,1.34,12.89,31.94,4.3,30.34,1.2,438.0,Severe
Ahmedabad,2019-03-15,62.44,,26.15,84.42,34.65,,26.15,48.85,58.49,4.1,32.38,6.98,428.0,Severe
Chennai,2020-02-07,36.32,55.83,9.08,14.12,23.09,35.67,0.78,8.19,27.6,0.91,0.0,,75.0,Satisfactory
Lucknow,2020-07-01,34.97,,8.5,14.44,6.73,11.75,0.73,6.02,36.07,7.79,2.62,,76.0,Satisfactory
Shillong,2020-02-28,17.24,24.88,0.79,2.44,1.04,2.49,0.24,3.09,25.66,405.21,405.05,,42.0,Good
Mumbai,2017-06-08,,,,,,,0.0,,,0.0,0.0,0.0,,
Patna,2017-11-12,192.85,,56.27,141.94,70.91,,1.76,23.98,38.29,0.75,5.35,0.55,372.0,Very Poor
Chennai,2016-04-19,56.62,,9.49,15.05,14.61,185.85,0.61,3.15,25.79,1.5,3.78,,127.0,Moderate
Lucknow,2016-02-04,115.55,,4.52,14.03,4.3,,2.58,5.24,59.45,,,,252.0,Poor
Chennai,2018-05-27,51.13,,12.51,20.89,18.71,80.83,0.86,5.25,51.17,0.0,0.18,,79.0,Satisfactory
Delhi,2015-04-13,86.49,116.62,14.18,50.3,56.07,38.86,3.67,14.99,62.52,2.5,8.84,2.06,247.0,Poor
Ahmedabad,2019-05-05,81.79,,19.4,58.23,42.89,,19.4,136.27,3.02,4.15,32.45,7.11,449.0,Severe
Gurugram,2017-05-12,310.69,,13.91,22.02,,,0.51,3.08,43.39,0.04,4.29,,409.0,Severe
Delhi,2017-04-01,105.71,291.02,84.88,81.75,63.72,68.33,0.52,20.05,22.94,2.85,6.71,,341.0,Very Poor
Ahmedabad,2019-05-16,33.97,116.32,14.67,79.71,55.61,,14.67,91.26,51.86,15.55,83.89,13.15,330.0,Very Poor
Hyderabad,2019-07-16,24.07,72.98,8.34,15.32,14.47,9.23,0.43,10.41,18.08,0.62,4.44,0.8,60.0,Satisfactory
Ahmedabad,2019-06-06,35.06,127.56,12.63,68.94,48.03,,12.63,101.14,75.71,26.24,85.15,94.48,303.0,Very Poor
Lucknow,2018-08-14,52.39,,18.35,44.57,38.36,30.87,0.97,8.37,22.36,0.19,0.43,,73.0,Satisfactory
Visakhapatnam,2019-04-29,18.89,65.88,14.16,15.71,19.87,42.9,0.61,5.58,7.06,1.89,3.17,0.58,85.0,Satisfactory
Coimbatore,2020-04-10,12.11,13.34,0.79,62.76,63.52,1.73,0.53,5.77,33.17,0.0,0.04,,,
Ahmedabad,2019-06-19,69.38,171.87,19.2,145.75,92.99,,19.2,37.85,7.21,6.3,80.04,1.48,371.0,Very Poor
Mumbai,2016-09-22,,,,,,,0.0,,,,,,,
Talcher,2018-03-06,145.3,329.78,57.74,26.55,82.66,23.23,1.93,57.6,23.11,0.0,0.0,,341.0,Very Poor
Ahmedabad,2019-06-28,49.43,102.77,29.88,164.64,114.39,,29.88,44.06,31.31,6.3,80.04,1.48,517.0,Severe
Gurugram,2018-12-31,309.14,401.63,100.31,68.8,116.97,,1.83,43.29,23.11,0.0,0.0,,463.0,Severe
Delhi,2016-04-22,113.75,208.42,9.87,44.8,46.72,20.0,0.93,25.63,110.09,1.91,4.27,,292.0,Poor
Lucknow,2017-09-30,77.33,,6.96,31.24,28.62,7.72,0.95,7.67,29.65,2.51,3.59,,135.0,Moderate
Visakhapatnam,2018-06-25,30.0,113.06,1.08,35.52,19.41,11.41,0.43,10.95,40.09,4.61,11.95,3.44,97.0,Satisfactory
Jaipur,2017-10-18,98.97,209.76,8.81,35.33,37.33,32.79,0.6,9.22,66.34,3.15,8.58,,250.0,Poor
Ahmedabad,2019-07-16,38.99,114.94,31.97,103.79,87.09,,31.97,156.48,32.57,6.3,80.04,1.48,488.0,Severe
Hyderabad,2019-09-18,25.01,47.59,3.95,22.53,12.46,11.76,0.51,5.48,25.02,0.67,9.42,1.13,65.0,Satisfactory
Hyderabad,2016-09-08,25.0,82.86,16.61,78.74,16.86,27.66,0.2,12.95,15.26,0.09,1.79,2.61,93.0,Satisfactory
Ahmedabad,2019-07-31,28.8,,32.52,50.61,61.74,,32.52,53.38,34.57,2.88,24.5,3.39,,
Patna,2020-05-22,14.58,55.82,56.62,18.36,54.39,6.78,0.37,9.35,41.0,1.1,5.31,1.3,102.0,Moderate
Patna,2016-11-03,136.93,,40.11,30.42,70.54,,1.63,9.83,20.89,0.22,0.97,1.88,310.0,Very Poor
Visakhapatnam,2018-09-20,71.26,105.67,16.14,51.8,40.68,11.68,1.05,3.22,16.1,5.25,19.84,4.42,110.0,Moderate
Lucknow,2016-12-19,221.75,,13.23,47.66,,,1.64,11.47,52.68,3.01,10.36,,394.0,Very Poor
Ahmedabad,2019-08-14,47.52,184.48,33.11,36.01,55.0,,33.11,40.95,41.86,2.14,32.05,0.52,492.0,Severe
Jaipur,2019-01-06,98.16,173.96,6.27,29.73,27.82,19.69,1.05,11.12,52.22,1.59,7.16,,196.0,Moderate
Mumbai,2018-07-31,16.22,61.49,8.42,15.83,24.25,,1.23,9.29,24.03,0.39,,,44.0,Good
Ahmedabad,2019-08-20,46.58,138.91,26.7,53.62,56.13,,26.7,45.91,61.08,2.14,32.05,0.52,466.0,Severe
Hyderabad,2019-03-25,50.06,117.86,4.11,38.91,23.8,13.23,0.71,7.35,34.56,1.8,9.53,1.31,107.0,Moderate
Mumbai,2019-10-05,32.11,74.94,30.47,23.52,52.77,17.09,1.19,9.91,15.35,2.48,,,96.0,Satisfactory
Ahmedabad,2019-09-11,59.4,196.25,45.92,46.05,74.61,,45.92,81.09,33.47,2.17,32.76,0.55,,
Visakhapatnam,2018-09-05,39.34,91.6,15.02,39.76,33.36,8.29,0.89,5.25,16.05,5.12,17.24,4.39,96.0,Satisfactory
Ahmedabad,2019-09-28,30.18,48.65,24.72,99.02,76.5,,24.72,82.66,34.33,1.15,23.37,2.04,438.0,Severe
Jorapokhar,2020-05-04,34.5,119.93,24.73,9.92,,9.57,1.28,26.23,55.16,,,,112.0,Moderate
Mumbai,2017-11-11,,,,,,,0.0,,,0.0,0.0,0.0,,
Mumbai,2017-12-01,,,,,25.79,,0.0,,,0.0,0.0,0.0,,
Thiruvananthapuram,2018-01-27,61.78,99.88,1.67,11.75,7.61,7.78,0.88,9.01,49.57,,,,99.0,Satisfactory
Talcher,2019-10-02,29.91,,40.78,2.61,41.14,8.44,0.54,34.56,0.11,0.0,,,,
Jaipur,2020-05-11,31.29,84.08,4.52,13.38,15.96,19.7,0.77,11.67,58.73,0.77,0.52,,125.0,Moderate
Chennai,2020-04-28,6.55,,6.22,5.65,11.52,30.45,0.7,4.57,38.1,0.29,0.0,,68.0,Satisfactory
Ernakulam,2020-02-17,50.63,79.13,69.33,0.87,70.2,12.57,1.33,3.54,,0.67,1.55,0.17,96.0,Satisfactory
Delhi,2016-08-16,49.04,245.72,25.06,28.74,53.79,26.6,3.78,7.97,83.64,0.9,3.17,,274.0,Poor
Coimbatore,2019-06-27,40.11,58.23,7.7,8.03,15.73,16.98,1.09,12.98,20.05,0.0,0.0,,72.0,Satisfactory
Ahmedabad,2019-10-30,20.1,52.97,16.72,74.41,55.36,,16.72,134.66,50.0,1.15,23.37,2.04,305.0,Very Poor
Delhi,2020-01-25,136.72,240.57,58.83,56.31,84.2,41.37,1.48,12.36,26.8,4.62,26.36,0.37,251.0,Poor
Ahmedabad,2019-11-14,49.19,116.2,20.01,202.95,121.82,,20.01,155.16,27.68,2.14,27.52,1.91,415.0,Severe
Ahmedabad,2019-11-20,46.54,93.8,34.48,97.74,87.15,,34.48,172.68,16.99,2.14,27.52,1.91,552.0,Severe
Jorapokhar,2019-04-13,55.67,116.8,9.14,9.48,,6.26,,8.72,26.77,,,,113.0,Moderate
Gurugram,2017-11-21,143.54,,7.58,22.83,19.26,,1.65,,36.67,1.36,1.04,,328.0,Very Poor
Visakhapatnam,2019-09-08,23.49,80.31,11.34,32.1,26.31,7.35,0.84,6.27,21.65,6.41,10.85,3.86,64.0,Satisfactory
Patna,2017-11-28,237.81,,28.68,29.44,25.02,,1.56,22.84,65.65,0.7,4.71,2.55,407.0,Severe
Ahmedabad,2019-12-05,65.48,121.86,7.8,82.62,48.13,,7.8,66.09,42.3,2.75,35.25,1.87,197.0,Moderate
Chennai,2017-02-02,52.59,,8.83,16.78,15.28,,0.1,2.89,28.39,0.25,0.07,,89.0,Satisfactory
Mumbai,2020-03-22,16.75,53.27,12.44,9.46,20.96,16.68,0.36,12.08,27.87,3.0,,,67.0,Satisfactory
Hyderabad,2015-08-22,108.69,,14.8,16.27,30.82,,0.46,7.24,14.94,0.84,5.1,0.03,390.0,Very Poor
Patna,2018-12-14,253.49,,18.0,20.57,13.25,,2.09,43.64,,4.41,26.79,20.7,401.0,Severe
Chennai,2019-04-05,36.23,,6.05,13.53,19.51,1.59,1.05,6.42,11.4,0.03,0.0,,100.0,Satisfactory
Thiruvananthapuram,2019-09-28,18.97,33.81,0.96,3.63,2.09,1.51,1.01,0.64,36.42,,,,64.0,Satisfactory
Guwahati,2020-05-01,23.15,32.95,2.17,7.83,5.42,4.28,0.41,14.1,28.57,0.05,,,46.0,Good
Mumbai,2018-06-14,19.16,,,,33.52,,1.05,21.68,36.74,0.43,,,59.0,Satisfactory
Jaipur,2019-10-15,64.81,138.94,22.71,54.6,64.61,55.81,1.28,12.33,48.5,3.39,12.35,,136.0,Moderate
Shillong,2020-05-04,13.97,18.44,0.89,2.65,1.11,2.73,0.2,6.95,0.11,0.04,0.19,,20.0,Good
Chennai,2019-06-11,51.79,,13.97,27.66,25.92,33.45,1.31,4.02,57.29,0.1,0.81,,116.0,Moderate
Chennai,2017-09-23,65.67,,4.52,8.67,6.66,,0.07,9.82,42.39,0.09,0.51,,98.0,Satisfactory
Ahmedabad,2020-01-28,18.03,66.54,11.31,18.02,17.23,,11.31,35.39,30.29,1.15,31.37,1.04,289.0,Poor
Kolkata,2019-10-26,33.33,63.66,10.15,26.3,36.42,10.78,0.66,6.74,14.61,19.16,33.62,2.22,54.0,Satisfactory
Talcher,2019-03-18,31.22,,29.24,5.8,35.04,7.86,3.16,29.29,5.04,0.0,,,,
Chennai,2015-12-29,65.1,,7.81,16.1,22.16,196.84,3.66,4.28,13.33,,,,241.0,Poor
Jaipur,2018-04-18,54.55,155.48,8.65,37.14,37.22,23.45,0.58,7.97,59.38,0.31,9.4,,149.0,Moderate
Jaipur,2019-09-09,34.8,70.51,7.42,24.82,29.5,49.54,0.93,11.36,33.16,0.67,5.55,,75.0,Satisfactory
Visakhapatnam,2018-03-30,29.82,75.32,5.43,27.29,18.9,8.17,0.52,10.8,21.54,3.7,6.73,2.01,73.0,Satisfactory
Shillong,2020-02-20,67.59,89.77,0.84,2.69,1.18,2.74,0.49,9.3,25.59,0.38,0.02,,175.0,Moderate
Kolkata,2019-06-08,15.87,29.35,7.36,14.2,20.32,4.49,0.41,1.87,29.98,10.55,6.31,4.34,47.0,Good
Delhi,2016-01-30,285.83,450.72,114.59,111.19,202.98,78.01,2.54,27.94,157.74,11.99,36.72,,505.0,Severe
Talcher,2018-07-08,23.54,105.13,21.82,3.97,22.04,19.74,2.32,53.9,21.47,0.0,0.01,,113.0,Moderate
Delhi,2019-10-14,116.33,239.47,52.78,50.83,68.23,34.7,1.73,11.46,43.59,4.68,37.89,3.34,285.0,Poor
Hyderabad,2018-05-28,31.17,76.56,2.96,25.45,15.75,10.77,0.72,5.77,45.6,1.11,5.24,0.72,87.0,Satisfactory
Ahmedabad,2020-03-14,39.57,111.46,4.0,35.3,20.2,,4.0,49.34,39.51,2.85,46.56,1.13,170.0,Moderate
Patna,2019-02-06,189.49,,13.27,17.14,12.5,,2.43,46.63,70.9,2.68,19.53,8.34,335.0,Very Poor
Coimbatore,2019-10-13,11.52,14.79,6.63,7.54,14.17,2.76,1.65,10.06,30.15,0.02,0.05,,90.0,Satisfactory
Delhi,2015-01-22,143.68,183.89,14.75,21.82,34.88,39.65,10.58,8.64,6.94,4.15,9.54,2.78,332.0,Very Poor
Ahmedabad,2020-03-28,37.73,72.43,4.67,35.52,20.77,,4.67,16.06,34.72,6.37,26.05,3.56,160.0,Moderate
Mumbai,2015-12-07,,,,,112.94,,0.0,,,0.0,0.0,0.0,,
Delhi,2015-11-14,221.68,377.4,19.84,60.05,69.37,48.04,1.72,21.27,90.08,3.98,10.55,0.0,450.0,Severe
Guwahati,2020-02-16,208.26,300.36,42.27,24.33,95.46,24.27,1.61,13.5,18.58,0.96,,,357.0,Very Poor
Ahmedabad,2020-04-14,31.16,72.09,3.22,25.9,14.73,,0.37,21.85,43.35,4.75,31.33,3.61,89.0,Satisfactory
Thiruvananthapuram,2019-08-17,21.0,40.48,0.96,5.03,2.75,1.55,0.81,1.17,24.18,,,,52.0,Satisfactory
