도시,날짜,PM25,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,벤젠,톨루엔,자일렌,AQI,AQI등급
Mumbai,2018-09-03,26.35,57.69,15.1,23.5,38.61,,1.31,15.45,49.4,0.29,,,69.0,Satisfactory
Ahmedabad,2020-06-29,29.75,127.98,9.06,25.15,18.92,,0.67,12.1,34.99,1.39,60.21,0.79,74.0,Satisfactory
Thiruvananthapuram,2018-10-10,15.43,34.46,2.77,9.88,7.47,2.6,1.04,6.49,11.47,,,,70.0,Satisfactory
Jorapokhar,2018-09-01,,123.14,7.02,6.93,,6.71,0.39,39.45,43.97,,,,148.0,Moderate
Mumbai,2016-05-20,,,,,15.88,,0.0,,,0.0,0.0,0.0,,
Aizawl,2020-03-12,31.21,38.66,7.2,1.27,10.65,25.63,0.56,4.22,2.81,0.01,0.08,,52.0,Satisfactory
Delhi,2018-02-25,106.26,222.46,25.0,42.88,59.15,50.57,1.0,14.34,43.87,2.05,3.94,0.2,317.0,Very Poor
Patna,2020-02-19,88.14,192.94,65.47,71.1,126.38,33.71,1.32,6.52,19.6,3.44,6.95,2.52,197.0,Moderate
Lucknow,2020-05-23,57.56,,5.22,9.61,9.22,11.72,1.14,5.57,36.74,26.11,7.08,,164.0,Moderate
Aizawl,2020-03-16,27.14,35.04,5.63,2.32,8.09,23.98,0.5,4.71,13.02,0.13,0.68,,54.0,Satisfactory
Aizawl,2020-03-17,27.32,35.75,3.07,2.14,3.41,24.57,0.48,4.84,6.03,0.25,1.34,,40.0,Good
Visakhapatnam,2017-12-28,88.29,195.79,28.26,60.83,55.3,11.48,1.28,16.54,57.78,4.7,7.63,2.68,203.0,Poor
Kolkata,2018-07-01,27.7,57.99,0.47,14.31,14.73,3.71,0.32,11.14,37.19,0.71,1.61,,58.0,Satisfactory
Lucknow,2018-05-14,268.33,,8.23,48.23,28.58,36.18,0.42,8.98,39.44,0.0,0.0,,476.0,Severe
Aizawl,2020-03-21,51.27,60.05,3.01,0.88,4.62,24.44,0.49,5.63,8.62,49.66,50.11,,70.0,Satisfactory
Gurugram,2016-04-28,136.31,,3.4,10.97,7.59,,2.62,7.91,40.92,,,,,
Patna,2017-11-04,111.81,,131.31,163.2,122.4,,1.98,18.5,19.87,0.75,5.0,0.68,286.0,Poor
Jaipur,2020-02-10,65.67,152.86,28.12,62.17,80.83,60.94,1.4,13.61,43.28,6.98,12.48,,150.0,Moderate
Aizawl,2020-03-26,54.9,62.7,2.96,0.13,3.69,25.48,0.42,6.8,5.87,0.25,0.92,,89.0,Satisfactory
Lucknow,2016-12-24,276.9,,86.91,72.76,,,3.01,9.1,51.97,8.31,20.96,,410.0,Severe
Gurugram,2019-10-11,83.09,,13.67,29.19,25.46,,0.93,2.41,54.08,0.0,0.0,,192.0,Moderate
Thiruvananthapuram,2018-07-09,15.77,29.21,3.28,11.32,8.48,1.88,0.79,7.12,29.82,,,,50.0,Good
Jaipur,2018-12-25,54.27,133.25,18.09,41.7,47.54,21.02,1.08,15.93,39.63,1.21,7.89,,135.0,Moderate
Thiruvananthapuram,2019-06-25,26.0,57.36,0.48,1.89,1.33,5.47,0.65,1.21,14.2,,,,,
Lucknow,2018-09-18,73.05,,6.59,21.56,19.82,29.24,0.89,5.05,24.56,0.1,0.2,,123.0,Moderate
Aizawl,2020-04-02,36.22,48.66,2.93,0.25,3.86,32.94,0.4,8.36,9.24,0.15,0.55,,64.0,Satisfactory
Gurugram,2018-03-10,63.36,152.3,16.46,45.04,38.64,,1.15,,74.93,,,,190.0,Moderate
Aizawl,2020-04-04,24.05,41.95,2.97,0.25,3.79,21.6,0.26,8.16,11.09,0.08,0.42,,43.0,Good
Aizawl,2020-04-05,26.47,33.51,2.96,0.08,3.5,26.0,0.31,8.79,5.76,10.03,10.52,,44.0,Good
Hyderabad,2020-05-06,25.18,59.71,5.47,21.51,15.19,12.26,0.52,4.45,31.28,0.73,4.45,0.07,73.0,Satisfactory
Patna,2017-01-30,174.62,,61.56,47.22,108.78,,1.54,0.67,6.13,0.17,0.73,0.39,304.0,Very Poor
Delhi,2019-03-04,105.93,180.84,49.62,40.1,67.55,37.26,1.54,14.75,38.13,3.92,33.07,0.98,217.0,Poor
Mumbai,2018-09-17,20.37,68.0,27.73,21.88,49.61,,1.62,13.13,30.21,0.91,,,93.0,Satisfactory
Aizawl,2020-04-10,38.01,45.39,4.41,0.13,5.7,27.97,0.41,4.52,5.62,0.16,0.7,,64.0,Satisfactory
Delhi,2017-03-12,64.42,169.87,31.79,32.11,17.93,24.24,0.26,20.11,42.82,2.76,5.78,,159.0,Moderate
Thiruvananthapuram,2017-09-22,17.54,44.17,1.89,7.23,5.36,,0.97,4.32,7.74,,,,56.0,Satisfactory
Lucknow,2015-07-29,43.47,,3.07,7.81,4.3,,3.16,10.44,30.68,0.11,0.21,,139.0,Moderate
Jaipur,2018-04-15,37.67,114.8,8.38,35.9,35.45,23.19,0.6,7.43,60.73,0.35,8.62,,125.0,Moderate
Gurugram,2019-05-03,62.53,148.15,17.73,17.47,28.1,,0.55,3.76,53.69,0.0,0.0,,209.0,Poor
Aizawl,2020-04-16,22.63,28.06,11.4,0.33,15.49,23.59,0.28,5.52,0.79,4.18,4.62,,49.0,Good
Aizawl,2020-04-17,15.06,19.85,11.4,0.36,15.51,14.87,0.22,5.43,2.46,0.05,0.35,,33.0,Good
Aizawl,2020-04-18,19.5,25.12,11.44,0.25,15.38,17.65,0.25,6.06,1.17,0.05,0.31,,31.0,Good
Hyderabad,2016-03-05,65.76,105.71,5.35,12.36,16.33,10.37,1.1,6.89,47.03,0.93,5.53,2.3,129.0,Moderate
Aizawl,2020-04-20,11.79,18.9,11.47,0.95,16.08,19.13,0.25,6.79,8.71,1.02,1.41,,24.0,Good
Aizawl,2020-04-21,9.53,20.94,11.54,0.75,15.94,16.64,0.27,6.62,7.67,10.19,10.54,,23.0,Good
Mumbai,2018-11-03,40.22,100.16,50.57,50.71,101.3,,1.95,14.27,41.95,2.07,,,132.0,Moderate
Patna,2019-01-20,363.78,,20.84,10.18,14.79,,2.27,36.53,41.42,3.81,24.79,11.12,441.0,Severe
Mumbai,2018-09-08,26.77,64.56,13.03,30.32,43.35,,0.99,15.65,42.69,0.37,,,67.0,Satisfactory
Thiruvananthapuram,2018-12-09,57.4,85.48,3.84,6.67,6.34,3.76,1.9,7.57,43.05,,,,103.0,Moderate
Aizawl,2020-04-26,1.97,4.06,11.54,0.13,15.25,12.44,0.18,6.98,1.78,6.7,6.95,,18.0,Good
Mumbai,2015-04-14,,,,,68.25,,0.0,,,0.0,0.0,0.0,,
Guwahati,2019-06-14,17.68,31.6,6.87,13.25,25.47,9.28,0.44,10.44,1.8,0.4,,,45.0,Good
Lucknow,2015-12-26,143.01,,16.43,12.78,7.22,,5.09,7.73,54.57,0.42,1.27,,291.0,Poor
Aizawl,2020-04-30,4.49,8.9,11.7,0.3,15.65,14.49,0.24,6.6,1.55,20.86,21.42,,19.0,Good
Aizawl,2020-05-01,7.92,12.97,11.68,0.35,15.71,18.21,0.3,6.47,1.61,0.06,0.76,,20.0,Good
Patna,2015-06-22,,,30.72,12.45,42.94,,2.1,8.39,17.44,74.8,42.39,42.03,,
Mumbai,2016-12-11,,,,,,,0.0,,,,,,,
Hyderabad,2018-02-22,57.85,131.06,4.83,49.21,29.91,18.86,0.88,8.69,46.5,1.9,9.21,2.14,114.0,Moderate
Talcher,2020-06-23,18.24,22.76,,,0.0,,0.59,16.62,,0.0,,,40.0,Good
Lucknow,2018-09-12,38.51,,9.98,27.41,26.3,28.82,1.34,3.94,23.28,0.05,1.33,,96.0,Satisfactory
Aizawl,2020-05-08,13.61,17.4,11.52,0.49,15.75,22.37,0.32,8.51,2.66,22.22,22.76,,20.0,Good
Chennai,2016-01-27,42.49,,9.97,18.3,17.33,168.71,1.38,3.39,32.57,5.37,6.72,,144.0,Moderate
Aizawl,2020-05-10,16.09,20.04,11.47,0.09,15.21,32.66,0.31,8.61,0.06,0.06,0.82,,24.0,Good
Talcher,2019-06-19,36.16,183.73,26.5,6.77,33.27,7.65,1.57,25.53,8.6,0.0,,,136.0,Moderate
Delhi,2017-03-28,152.66,289.95,61.08,85.54,53.58,61.73,0.42,18.24,18.81,2.47,4.81,,320.0,Very Poor
Kochi,2020-05-09,13.96,28.02,56.3,14.53,58.81,11.54,1.27,12.83,1.21,,0.0,,82.0,Satisfactory
Aizawl,2020-05-14,21.05,24.86,11.46,0.65,15.85,23.68,0.32,9.08,7.27,8.15,8.56,,33.0,Good
Aizawl,2020-05-15,14.82,19.67,11.65,0.35,15.83,23.19,0.31,9.06,0.05,10.0,10.96,,31.0,Good
Gurugram,2016-06-09,139.85,,2.19,7.07,4.95,,0.33,3.44,28.95,,,,133.0,Moderate
Lucknow,2015-04-24,44.39,,2.88,16.54,4.22,,2.23,35.52,26.23,3.57,4.69,,113.0,Moderate
Patna,2017-12-23,235.52,,70.66,122.68,75.53,,2.83,50.93,62.93,0.5,3.65,1.88,364.0,Very Poor
Thiruvananthapuram,2020-01-14,48.75,85.45,9.38,26.54,21.71,12.97,0.91,8.56,58.43,,,,82.0,Satisfactory
Aizawl,2020-05-20,6.53,10.27,11.81,0.51,16.12,17.62,0.31,9.81,0.44,3.61,3.97,,24.0,Good
Lucknow,2017-11-29,236.79,,101.11,92.62,130.14,96.77,2.29,10.96,34.01,1.34,2.98,,364.0,Very Poor
Gurugram,2020-04-12,32.16,68.78,5.49,16.41,10.09,35.82,0.6,14.0,67.11,1.75,2.73,2.49,107.0,Moderate
Patna,2017-01-18,422.59,,69.36,58.09,127.45,,2.39,4.28,7.53,0.25,0.92,0.56,520.0,Severe
Delhi,2015-10-27,113.2,260.46,30.2,49.25,75.03,26.14,1.74,21.2,63.88,6.18,16.14,2.02,334.0,Very Poor
Patna,2019-10-15,89.38,,26.73,30.85,24.2,,2.93,57.14,36.0,,,,185.0,Moderate
Aizawl,2020-05-26,9.03,13.23,11.57,0.42,15.65,12.13,0.22,11.09,2.5,0.04,0.26,,19.0,Good
Visakhapatnam,2018-02-27,48.33,136.39,11.32,59.48,40.83,16.1,0.77,17.88,37.29,5.89,12.9,3.35,131.0,Moderate
Delhi,2017-05-29,48.95,150.23,18.15,55.2,23.76,41.24,0.54,26.99,49.0,1.8,11.24,,94.0,Satisfactory
Lucknow,2017-03-14,75.43,,7.76,23.71,,,1.24,5.39,72.02,0.67,1.85,,148.0,Moderate
Hyderabad,2018-10-27,57.44,145.22,13.24,60.75,42.38,10.5,0.68,16.45,27.8,6.3,54.43,13.98,117.0,Moderate
Chennai,2020-05-17,10.99,,8.53,8.16,15.85,45.0,0.7,4.13,39.6,0.18,0.0,,68.0,Satisfactory
Delhi,2015-12-26,158.69,331.93,52.6,88.96,109.95,69.77,10.3,21.02,88.64,3.76,7.95,,310.0,Very Poor
Mumbai,2015-10-24,,,,,99.83,,0.0,,,0.0,0.0,0.0,,
Guwahati,2019-10-24,55.9,84.17,13.0,14.82,37.2,7.42,0.74,12.04,17.8,0.0,,,174.0,Moderate
Aizawl,2020-06-05,2.49,7.33,20.36,0.7,25.15,25.23,0.24,12.97,3.3,17.11,17.44,,31.0,Good
Chennai,2017-10-29,62.08,,9.13,21.3,14.75,296.43,0.66,11.68,29.74,0.03,0.02,,113.0,Moderate
Mumbai,2019-01-12,76.86,237.89,55.52,49.1,102.22,,2.76,34.55,78.82,2.55,,,187.0,Moderate
Talcher,2018-03-27,155.14,352.21,58.77,22.58,75.12,10.83,2.74,56.31,25.25,0.0,0.0,,288.0,Poor
Gurugram,2018-05-16,139.53,396.69,15.13,24.1,30.64,,0.41,,23.65,0.6,,,126.0,Moderate
Aizawl,2020-06-10,1.54,2.79,11.77,0.1,15.52,21.4,0.22,13.44,,65.53,65.67,,19.0,Good
Mumbai,2018-06-10,6.2,,,,17.43,,1.04,26.72,45.84,0.27,,,,
Patna,2017-01-07,195.2,,43.54,32.98,76.53,,2.57,8.79,8.51,0.23,0.87,0.47,374.0,Very Poor
Hyderabad,2018-09-05,27.05,87.39,5.13,26.36,17.59,11.1,0.38,8.05,14.3,1.77,14.34,19.46,72.0,Satisfactory
Aizawl,2020-06-14,0.98,4.59,11.63,0.07,15.17,24.59,0.16,8.82,3.77,,,,19.0,Good
Talcher,2018-05-28,38.07,104.7,18.63,19.01,20.39,12.86,1.73,30.21,10.5,0.0,0.0,,102.0,Moderate
Lucknow,2019-10-07,80.3,,12.71,29.57,25.22,35.3,1.18,5.04,29.82,2.39,10.32,,146.0,Moderate
Mumbai,2017-10-22,,,,,,,0.0,,,0.0,0.0,0.0,,
Mumbai,2017-09-02,,,,,,,0.0,,,0.0,0.0,0.0,,
Chennai,2019-04-16,19.48,,6.43,11.66,20.56,1.48,1.09,6.89,14.36,0.0,4.63,,70.0,Satisfactory
Chennai,2018-07-12,44.79,,7.26,19.71,14.22,51.13,0.8,6.04,11.27,0.0,1.94,,77.0,Satisfactory
Aizawl,2020-06-22,2.88,13.68,11.74,0.32,15.79,29.98,0.16,1.91,1.79,12.27,12.38,,20.0,Good
Lucknow,2016-08-11,22.06,,8.09,24.21,8.42,,0.55,6.79,21.24,0.31,0.08,,,
Delhi,2017-12-26,224.42,326.11,46.41,57.6,6.18,62.83,1.57,22.1,38.93,5.37,12.99,0.42,372.0,Very Poor
Chennai,2019-01-10,89.42,,9.15,14.95,23.31,162.85,0.81,11.52,39.2,0.07,2.11,,181.0,Moderate
Lucknow,2017-06-06,54.14,,3.65,13.17,6.24,,1.18,4.66,9.41,2.73,4.17,,221.0,Poor
Aizawl,2020-06-27,0.16,3.16,11.69,0.07,15.41,22.42,0.02,1.08,1.29,,,,19.0,Good
Kochi,2020-02-13,60.32,136.7,61.07,20.46,57.2,2.23,1.3,21.96,12.78,,0.0,,122.0,Moderate
Gurugram,2020-03-11,52.61,100.26,4.09,25.06,20.72,32.17,0.89,14.62,58.4,3.26,3.43,12.11,114.0,Moderate
Delhi,2018-05-30,65.76,295.94,13.19,33.21,42.64,54.38,0.95,8.58,59.9,1.2,1.85,0.0,272.0,Poor
Hyderabad,2016-06-15,363.14,,7.73,10.54,18.28,,0.68,7.39,13.11,0.1,0.63,0.06,199.0,Moderate
Patna,2019-09-25,27.46,,22.0,39.59,23.6,,0.79,46.43,,0.0,0.0,0.0,72.0,Satisfactory
Lucknow,2017-09-21,21.08,,6.89,22.99,,,1.14,5.53,15.47,2.37,3.41,,67.0,Satisfactory
Lucknow,2016-04-21,86.79,,3.14,40.59,4.22,,1.34,4.81,80.78,1.28,1.94,,175.0,Moderate
Chennai,2018-05-01,50.73,,22.85,98.77,64.31,100.02,1.71,3.39,41.65,0.71,1.09,,92.0,Satisfactory
Amaravati,2017-11-28,64.18,104.09,2.56,28.07,17.01,11.42,0.09,19.0,138.18,0.17,5.02,0.07,188.0,Moderate
Hyderabad,2016-09-03,10.4,30.27,13.23,57.09,17.23,15.31,0.45,10.59,14.46,0.06,0.49,1.06,78.0,Satisfactory
Jorapokhar,2019-04-16,71.94,143.92,9.16,9.28,,6.3,,5.04,51.32,,,,139.0,Moderate
Chennai,2016-03-24,64.05,,7.1,11.13,14.49,214.6,0.82,4.04,20.81,2.98,3.02,,132.0,Moderate
Visakhapatnam,2017-03-07,24.57,58.88,17.16,18.35,23.66,8.27,1.08,8.84,11.06,2.66,4.88,0.96,118.0,Moderate
Delhi,2019-06-07,54.81,152.39,14.19,35.32,32.74,32.37,1.11,14.44,74.12,2.27,18.06,0.01,192.0,Moderate
Delhi,2018-02-06,143.29,274.72,28.45,56.51,67.62,44.96,1.21,14.94,41.11,1.74,4.88,0.42,324.0,Very Poor
Amaravati,2017-12-05,88.36,121.77,3.7,20.23,13.75,13.72,0.12,14.02,117.93,0.24,2.92,0.03,198.0,Moderate
Patna,2015-11-16,279.32,,57.92,24.69,82.28,,2.32,5.42,10.85,0.46,1.89,0.94,402.0,Severe
Mumbai,2018-03-19,,,,,47.85,,1.4,,,0.0,0.0,0.0,,
Patna,2020-02-09,97.57,182.11,70.73,60.09,126.92,23.44,1.47,8.57,13.82,2.21,7.46,2.14,218.0,Poor
Jaipur,2019-10-07,51.77,100.67,18.15,36.11,45.44,37.79,1.48,9.57,31.55,2.77,9.46,,106.0,Moderate
Hyderabad,2015-04-19,54.25,,10.01,21.04,31.05,,1.0,8.83,41.52,,,,139.0,Moderate
Lucknow,2019-03-18,107.51,,5.67,29.06,24.64,9.31,1.19,11.73,44.76,1.69,17.94,,237.0,Poor
Amaravati,2017-12-12,89.35,131.48,7.97,42.1,28.88,21.24,0.24,7.42,44.67,0.28,7.01,0.19,179.0,Moderate
Amaravati,2017-12-13,64.42,99.74,7.2,34.78,24.36,17.63,0.15,5.81,50.16,0.24,6.11,0.14,145.0,Moderate
Thiruvananthapuram,2018-10-06,30.33,50.39,2.8,8.2,6.57,3.15,1.16,5.57,8.34,,,,82.0,Satisfactory
Chennai,2016-01-25,46.84,,6.09,12.73,11.58,102.74,2.11,3.65,34.98,4.51,8.9,,153.0,Moderate
Amaravati,2017-12-16,79.76,129.81,8.77,40.92,28.84,15.56,0.17,8.51,73.17,0.24,4.41,0.13,156.0,Moderate
Lucknow,2016-10-10,89.92,,7.24,35.56,,,1.44,4.56,17.18,0.51,0.94,,142.0,Moderate
Chennai,2019-05-08,42.78,,6.41,15.19,21.57,2.48,1.02,6.36,21.36,0.16,0.96,,75.0,Satisfactory
Amaravati,2017-12-19,106.25,171.56,2.74,43.09,21.78,19.66,0.13,15.45,66.9,0.28,3.13,0.18,228.0,Poor
Gurugram,2019-04-20,66.43,177.73,12.92,16.33,22.13,,0.6,2.71,38.01,0.0,0.0,,136.0,Moderate
Lucknow,2018-12-12,191.15,,33.87,67.55,62.66,21.1,2.13,6.82,17.88,0.28,2.8,,362.0,Very Poor
Thiruvananthapuram,2018-06-19,15.52,63.21,2.99,12.1,8.82,1.51,0.93,6.17,20.66,,,,66.0,Satisfactory
Amaravati,2017-12-23,86.5,147.95,5.24,42.0,26.6,20.78,0.15,11.85,73.09,0.31,3.9,0.17,159.0,Moderate
Chennai,2016-06-22,32.8,,2.98,11.31,12.63,64.51,1.47,4.76,31.72,2.76,15.67,,83.0,Satisfactory
Guwahati,2019-12-27,113.44,162.48,35.78,11.56,71.11,14.77,1.44,12.03,19.09,1.53,,,336.0,Very Poor
Amaravati,2017-12-26,107.7,170.21,4.97,43.54,27.2,22.52,0.17,18.07,64.6,0.33,4.01,0.16,274.0,Poor
Kolkata,2020-06-05,11.25,28.39,4.02,7.44,10.97,9.35,0.32,6.83,30.31,1.28,13.57,1.04,46.0,Good
Kolkata,2019-04-04,41.47,80.25,4.66,26.11,30.77,15.35,0.43,4.67,19.76,2.86,9.2,,83.0,Satisfactory
Amaravati,2017-12-29,74.58,138.6,6.14,46.65,29.81,18.2,0.17,9.47,67.11,0.32,3.76,0.18,177.0,Moderate
Amaravati,2017-12-30,56.68,109.33,4.6,33.26,21.44,16.86,0.1,8.26,66.91,0.25,3.28,0.14,120.0,Moderate
Talcher,2018-02-17,174.89,336.83,44.88,48.53,93.46,5.88,1.42,69.76,25.58,0.0,0.0,,362.0,Very Poor
Amaravati,2018-01-01,59.03,108.83,3.45,23.36,15.23,18.03,0.09,26.05,87.55,0.23,3.2,0.09,120.0,Moderate
Amaravati,2018-01-02,61.88,109.82,3.87,23.14,15.45,19.57,0.09,12.81,81.38,0.2,3.84,0.04,132.0,Moderate
Amaravati,2018-01-03,71.57,137.48,5.01,39.99,25.36,25.61,0.09,16.82,80.3,0.24,6.55,0.11,136.0,Moderate
Patna,2020-03-27,58.25,129.36,51.61,45.25,64.28,13.88,1.68,12.52,20.63,0.89,4.96,0.31,146.0,Moderate
Mumbai,2018-03-11,,,61.16,,76.15,,1.86,,,0.0,0.0,0.0,,
Hyderabad,2018-10-31,56.98,120.91,8.65,47.69,32.11,11.49,0.56,14.98,34.51,4.83,33.6,14.01,117.0,Moderate
Thiruvananthapuram,2018-04-29,46.14,76.45,2.84,11.89,8.64,3.24,1.03,7.98,40.11,,,,78.0,Satisfactory
Delhi,2016-09-27,52.49,109.5,10.51,41.03,46.9,29.98,0.71,13.68,62.19,0.88,5.71,,185.0,Moderate
Gurugram,2019-03-01,66.43,168.92,12.3,23.22,26.61,,0.32,37.24,31.94,0.0,0.0,,137.0,Moderate
Amaravati,2018-01-10,87.43,155.95,3.9,37.31,23.02,22.35,0.1,13.4,121.72,0.1,1.93,0.01,229.0,Poor
Mumbai,2018-08-03,17.72,48.66,12.25,48.29,58.01,,1.18,24.59,18.65,0.32,,,75.0,Satisfactory
Hyderabad,2018-07-26,14.41,42.62,9.34,20.64,18.69,13.72,0.29,7.06,16.19,0.43,4.26,0.26,54.0,Satisfactory
Lucknow,2015-02-11,,,6.41,28.63,4.22,,16.55,179.18,42.61,2.62,3.82,,,
Talcher,2019-02-28,29.97,168.95,36.54,,29.69,7.72,2.42,0.74,5.54,0.0,,,129.0,Moderate
Jaipur,2018-02-09,61.1,142.45,16.18,21.12,26.43,17.2,1.23,12.96,60.7,1.07,2.9,,140.0,Moderate
Amaravati,2018-01-16,67.06,100.34,3.22,20.25,13.29,18.78,0.06,4.7,54.92,0.15,6.52,0.07,138.0,Moderate
Amaravati,2018-01-17,68.34,104.45,3.71,26.26,16.99,20.29,0.06,6.43,45.63,0.15,6.54,0.07,125.0,Moderate
Amaravati,2018-01-18,66.28,117.3,7.36,45.13,29.99,21.68,0.05,7.21,45.97,0.19,6.81,0.1,132.0,Moderate
Gurugram,2016-09-22,43.91,,,,,,0.49,2.28,32.7,,,,119.0,Moderate
Amaravati,2018-01-20,75.46,132.84,9.56,56.53,37.84,21.88,0.13,30.48,51.98,0.2,6.58,0.14,137.0,Moderate
Hyderabad,2016-03-30,55.96,95.45,5.7,11.15,15.47,10.16,1.13,3.89,46.22,0.89,4.24,0.75,125.0,Moderate
Amaravati,2018-01-22,78.27,142.86,5.98,45.36,29.01,19.12,0.06,10.32,58.53,0.16,5.57,0.06,160.0,Moderate
Lucknow,2017-08-13,46.39,,6.52,24.96,,,1.16,6.86,8.89,1.49,3.11,,81.0,Satisfactory
Visakhapatnam,2018-08-13,35.57,49.8,32.61,46.46,51.23,11.53,0.69,12.14,3.61,6.28,16.15,6.34,,
Hyderabad,2016-11-27,59.95,98.75,7.69,5.3,4.13,3.64,0.5,48.96,51.89,0.03,0.67,0.4,106.0,Moderate
Patna,2020-04-28,12.37,39.29,66.2,11.68,58.88,11.3,0.39,8.63,31.79,0.55,3.05,0.14,98.0,Satisfactory
Amaravati,2018-01-27,77.78,131.14,6.1,43.84,28.33,26.3,0.09,7.62,43.26,0.18,6.61,0.07,162.0,Moderate
Mumbai,2015-05-10,,,,,27.91,,0.0,,,0.0,0.0,0.0,,
Amaravati,2018-01-29,74.2,135.97,4.3,35.82,22.55,20.24,0.07,12.16,53.0,0.15,4.24,0.05,142.0,Moderate
Patna,2020-05-19,43.06,112.12,50.13,17.54,57.23,10.03,0.57,5.06,46.38,2.11,5.44,1.27,137.0,Moderate
Chennai,2015-07-05,70.61,,4.7,20.14,17.67,54.4,2.19,13.9,30.78,1.02,0.23,,193.0,Moderate
Hyderabad,2020-04-09,29.36,61.5,23.69,25.74,26.47,15.14,0.51,9.14,29.65,2.22,15.08,0.31,59.0,Satisfactory
Talcher,2019-06-11,37.45,154.65,32.5,8.58,39.41,8.4,1.12,23.17,9.55,0.0,,,121.0,Moderate
Amaravati,2018-02-03,44.21,119.52,3.63,34.37,21.23,23.31,0.07,5.86,31.73,0.09,3.54,0.06,111.0,Moderate
Kolkata,2019-11-23,110.7,222.67,54.7,69.34,123.61,31.07,1.36,18.3,41.56,30.02,44.8,5.23,234.0,Poor
Talcher,2018-03-02,198.3,392.54,113.49,32.55,118.98,28.91,2.43,50.51,26.23,0.0,0.0,,365.0,Very Poor
Jaipur,2019-04-19,36.19,83.64,13.46,39.88,42.78,21.91,0.84,9.88,64.75,0.6,3.98,,102.0,Moderate
Kolkata,2018-10-12,17.35,36.08,6.07,21.82,27.88,15.68,2.73,1.97,10.84,7.25,7.19,,122.0,Moderate
Amaravati,2018-02-08,50.54,120.05,2.91,26.96,16.74,13.02,0.9,17.9,36.66,0.1,2.28,0.21,121.0,Moderate
Jorapokhar,2017-04-24,,178.28,7.49,10.72,,,0.33,38.16,17.94,,,,124.0,Moderate
Jorapokhar,2020-01-09,66.1,179.78,8.8,8.87,,6.5,,29.7,156.05,,,,239.0,Poor
Gurugram,2019-08-29,37.09,81.47,5.35,7.47,12.51,,0.43,18.97,32.09,2.0,5.97,,73.0,Satisfactory
Kolkata,2020-02-25,82.03,136.88,24.71,53.5,78.26,35.78,0.75,8.34,16.49,13.44,21.46,2.75,237.0,Poor
Visakhapatnam,2017-12-03,69.02,114.81,1.3,29.42,16.66,11.2,0.93,6.61,110.02,2.82,4.02,0.67,157.0,Moderate
Amaravati,2018-02-14,56.29,107.96,0.25,16.71,9.02,10.89,0.95,12.91,48.39,0.16,2.37,0.1,114.0,Moderate
Amaravati,2018-02-15,50.41,118.62,1.68,25.6,15.01,20.24,0.69,11.81,33.46,0.17,3.82,0.11,111.0,Moderate
Jaipur,2019-04-09,55.19,161.64,12.65,30.85,35.21,27.44,0.94,14.8,67.87,0.97,5.11,,199.0,Moderate
Jaipur,2018-10-21,74.69,181.3,7.04,38.28,34.6,20.42,0.96,10.36,77.81,1.33,13.33,,185.0,Moderate
Delhi,2019-09-15,35.52,72.61,10.34,27.77,24.91,24.48,0.91,8.55,28.58,1.42,14.92,0.49,83.0,Satisfactory
Amaravati,2018-02-19,54.73,94.12,3.49,12.79,9.73,22.79,0.58,8.21,30.21,0.08,2.23,0.15,89.0,Satisfactory
Amaravati,2018-02-20,50.91,99.84,4.55,16.33,12.39,23.18,0.64,10.34,26.24,0.1,2.51,0.1,97.0,Satisfactory
Thiruvananthapuram,2020-04-21,13.77,31.6,5.61,8.41,12.1,6.16,0.49,5.74,32.43,,,,53.0,Satisfactory
Amaravati,2018-02-23,35.36,107.25,6.13,17.75,14.52,16.57,0.85,10.87,23.99,0.09,2.92,0.2,114.0,Moderate
Patna,2019-02-26,170.92,,32.56,13.8,23.23,,1.71,30.61,54.18,2.83,21.81,12.94,311.0,Very Poor
Patna,2018-08-12,66.95,,29.65,73.68,37.07,,1.59,10.84,40.45,3.23,36.94,14.59,140.0,Moderate
Gurugram,2020-03-27,20.82,41.61,5.31,14.19,9.72,48.2,0.54,15.31,38.52,3.51,7.01,15.13,59.0,Satisfactory
Amaravati,2018-02-27,39.52,113.31,19.35,21.18,27.0,18.5,0.81,15.02,18.8,0.15,2.65,0.2,116.0,Moderate
Amaravati,2018-02-28,43.08,116.06,5.34,19.02,14.54,22.46,0.79,22.7,25.64,0.09,2.16,0.12,108.0,Moderate
Mumbai,2016-09-15,,,,,,,0.0,,,,,,,
Amaravati,2018-03-02,33.08,83.16,5.37,18.83,14.38,14.52,0.72,8.98,23.63,0.05,2.04,0.1,92.0,Satisfactory
Shillong,2020-03-16,23.18,42.06,0.86,2.53,1.04,2.57,0.21,5.4,36.23,281.93,281.84,,65.0,Satisfactory
Mumbai,2020-03-24,35.58,92.81,10.91,12.34,22.74,13.82,0.52,8.75,38.04,4.72,,,86.0,Satisfactory
Lucknow,2017-12-23,158.89,,27.36,54.32,51.76,51.04,0.93,9.16,77.57,1.93,1.1,,337.0,Very Poor
Visakhapatnam,2016-07-14,37.09,98.23,14.05,49.9,34.78,13.3,1.09,9.28,33.36,5.24,8.33,7.04,93.0,Satisfactory
Mumbai,2020-03-05,32.59,108.48,17.09,26.95,43.7,19.16,0.53,17.87,21.06,4.07,,,108.0,Moderate
