고객세그먼트,제품대분류,제품소분류,지역,매출액,수량,할인율,이익
Consumer,Furniture,Furnishings,West,16.72,5.0,0.2,3.344
Home Office,Office Supplies,Binders,South,6.24,2.0,0.0,3.0576
Corporate,Office Supplies,Envelopes,West,21.88,2.0,0.0,10.94
Consumer,Office Supplies,Labels,South,4.608,2.0,0.2,1.6704
Home Office,Office Supplies,Labels,East,9.82,2.0,0.0,4.8118
Home Office,Office Supplies,Art,East,35.97,3.0,0.0,9.7119
Home Office,Office Supplies,Paper,West,59.94,3.0,0.0,28.1718
Home Office,Office Supplies,Paper,East,191.6,4.0,0.0,91.968
Home Office,Office Supplies,Labels,East,8.64,3.0,0.0,4.2336
Home Office,Office Supplies,Storage,East,501.81,3.0,0.0,0.0
Corporate,Furniture,Bookcases,South,289.568,2.0,0.2,10.8588
Home Office,Furniture,Bookcases,West,120.666,2.0,0.15,21.294
Consumer,Office Supplies,Binders,East,18.588,2.0,0.7,-13.6312
Corporate,Furniture,Bookcases,East,1025.88,6.0,0.0,235.9524
Consumer,Office Supplies,Storage,West,579.51,3.0,0.0,81.1314
Consumer,Office Supplies,Storage,South,332.94,3.0,0.0,9.9882
Consumer,Office Supplies,Paper,West,34.24,8.0,0.0,15.408
Corporate,Technology,Machines,Central,3059.982,2.0,0.1,679.996
Consumer,Office Supplies,Appliances,East,370.14,3.0,0.0,144.3546
Corporate,Office Supplies,Paper,Central,34.02,3.0,0.0,16.6698
Corporate,Office Supplies,Labels,East,24.9,5.0,0.0,11.454
Consumer,Office Supplies,Art,West,3.392,1.0,0.2,0.8056
Consumer,Technology,Phones,West,559.984,2.0,0.2,55.9984
Consumer,Furniture,Chairs,West,603.92,5.0,0.2,75.49
Home Office,Office Supplies,Labels,Central,7.968,2.0,0.2,2.5896
Corporate,Office Supplies,Binders,East,5.97,5.0,0.7,-4.577
Home Office,Technology,Machines,Central,336.51,3.0,0.4,44.868
Consumer,Furniture,Chairs,West,243.92,5.0,0.2,-15.245
Corporate,Furniture,Furnishings,East,520.05,5.0,0.0,72.807
Corporate,Office Supplies,Art,East,17.97,3.0,0.0,5.2113
Corporate,Technology,Accessories,Central,79.512,3.0,0.2,20.8719
Consumer,Office Supplies,Binders,East,14.624,2.0,0.2,5.484
Corporate,Technology,Copiers,Central,599.99,1.0,0.0,233.9961
Consumer,Office Supplies,Paper,West,154.9,5.0,0.0,69.705
Corporate,Office Supplies,Art,East,6.99,3.0,0.0,2.0271
Corporate,Technology,Phones,South,617.97,3.0,0.0,173.0316
Consumer,Furniture,Furnishings,East,273.568,2.0,0.2,-34.196
Consumer,Office Supplies,Storage,South,36.63,3.0,0.0,9.8901
Home Office,Furniture,Furnishings,Central,5.344,4.0,0.6,-2.1376
Consumer,Furniture,Furnishings,South,33.11,7.0,0.0,12.9129
Corporate,Office Supplies,Appliances,West,2518.29,9.0,0.0,654.7554
Consumer,Technology,Accessories,East,2309.65,7.0,0.0,762.1845
Consumer,Furniture,Tables,East,1090.782,7.0,0.4,-290.8752
Consumer,Office Supplies,Paper,East,19.44,3.0,0.0,9.3312
Corporate,Office Supplies,Labels,West,18.9,3.0,0.0,8.694
Corporate,Furniture,Chairs,West,307.136,4.0,0.2,-11.5176
Consumer,Furniture,Furnishings,West,266.352,3.0,0.2,-13.3176
Consumer,Office Supplies,Binders,West,4.401,3.0,0.7,-3.5208
Home Office,Office Supplies,Paper,East,59.94,3.0,0.0,28.1718
Consumer,Technology,Phones,Central,95.984,2.0,0.2,5.999
Home Office,Office Supplies,Labels,South,4.608,2.0,0.2,1.6704
Consumer,Furniture,Furnishings,West,155.25,3.0,0.0,46.575
Consumer,Office Supplies,Storage,West,14.03,1.0,0.0,4.0687
Consumer,Furniture,Tables,West,1618.37,13.0,0.0,356.0414
Consumer,Office Supplies,Binders,West,39.624,3.0,0.2,13.8684
Home Office,Office Supplies,Paper,Central,10.368,2.0,0.2,3.7584
Corporate,Technology,Accessories,West,209.94,6.0,0.0,39.8886
Consumer,Technology,Phones,West,369.544,7.0,0.2,32.3351
Corporate,Technology,Phones,West,191.976,3.0,0.2,19.1976
Corporate,Office Supplies,Storage,East,601.65,5.0,0.0,156.429
Consumer,Office Supplies,Art,East,6.08,2.0,0.0,2.0672
Consumer,Technology,Accessories,West,239.94,6.0,0.0,26.3934
Consumer,Technology,Machines,East,1379.92,8.0,0.0,648.5624
Home Office,Office Supplies,Fasteners,East,17.28,6.0,0.0,8.1216
Consumer,Technology,Phones,South,135.95,1.0,0.0,39.4255
Home Office,Office Supplies,Paper,East,15.552,3.0,0.2,5.4432
Consumer,Office Supplies,Labels,West,5.76,2.0,0.0,2.8224
Consumer,Office Supplies,Binders,East,36.56,5.0,0.2,12.796
Corporate,Office Supplies,Paper,East,177.2,5.0,0.0,83.284
Corporate,Technology,Phones,East,197.97,3.0,0.0,57.4113
Corporate,Furniture,Chairs,West,338.352,3.0,0.2,4.2294
Consumer,Office Supplies,Paper,West,49.12,4.0,0.0,23.0864
Consumer,Office Supplies,Binders,Central,8.952,2.0,0.8,-14.7708
Consumer,Furniture,Furnishings,West,23.376,3.0,0.2,7.0128
Corporate,Technology,Phones,Central,257.98,2.0,0.0,74.8142
Consumer,Office Supplies,Binders,East,14.427,3.0,0.7,-10.5798
Home Office,Furniture,Furnishings,Central,86.62,2.0,0.0,8.662
Consumer,Office Supplies,Binders,West,36.624,3.0,0.2,13.734
Consumer,Office Supplies,Art,South,23.968,7.0,0.2,2.6964
Consumer,Office Supplies,Art,South,28.728,3.0,0.2,1.7955
Consumer,Office Supplies,Art,West,144.6,3.0,0.0,41.934
Consumer,Technology,Accessories,East,31.86,2.0,0.0,11.151
Home Office,Office Supplies,Paper,West,12.96,2.0,0.0,6.3504
Consumer,Furniture,Chairs,West,484.704,6.0,0.2,-84.8232
Corporate,Office Supplies,Appliances,Central,58.464,9.0,0.8,-146.16
Home Office,Furniture,Chairs,Central,254.604,14.0,0.3,-18.186
Consumer,Office Supplies,Binders,West,1.344,1.0,0.2,0.4704
Consumer,Furniture,Furnishings,South,102.36,3.0,0.2,-3.8385
Consumer,Furniture,Tables,South,934.956,6.0,0.4,-249.3216
Corporate,Office Supplies,Envelopes,Central,223.888,7.0,0.2,69.965
Consumer,Office Supplies,Paper,Central,47.952,3.0,0.2,16.1838
Corporate,Office Supplies,Paper,East,6.72,2.0,0.2,2.436
Consumer,Office Supplies,Labels,Central,133.2,9.0,0.0,66.6
Corporate,Office Supplies,Binders,East,1.824,1.0,0.7,-1.3984
Home Office,Furniture,Furnishings,East,108.4,2.0,0.0,22.764
Home Office,Office Supplies,Binders,East,82.344,3.0,0.2,27.7911
Corporate,Office Supplies,Art,East,17.94,3.0,0.0,4.485
Corporate,Office Supplies,Binders,West,19.936,4.0,0.2,7.2268
Consumer,Office Supplies,Art,West,11.52,4.0,0.0,3.2256
Home Office,Office Supplies,Fasteners,East,4.416,3.0,0.2,1.6008
Consumer,Furniture,Chairs,Central,107.772,2.0,0.3,-29.2524
Home Office,Office Supplies,Labels,East,16.52,5.0,0.2,5.369
Corporate,Technology,Accessories,East,20.97,3.0,0.0,9.0171
Consumer,Furniture,Furnishings,East,31.968,2.0,0.2,6.3936
Corporate,Technology,Phones,East,118.782,3.0,0.4,-27.7158
Corporate,Office Supplies,Fasteners,East,1.448,1.0,0.2,0.2353
Corporate,Technology,Accessories,West,239.96,4.0,0.0,115.1808
Consumer,Furniture,Chairs,West,194.848,4.0,0.2,12.178
Corporate,Technology,Accessories,West,111.93,7.0,0.0,34.6983
Home Office,Office Supplies,Binders,East,25.176,4.0,0.7,-18.4624
Home Office,Office Supplies,Art,West,19.46,7.0,0.0,5.0596
Corporate,Technology,Accessories,South,66.36,4.0,0.0,23.226
Corporate,Technology,Phones,East,259.896,2.0,0.4,-56.3108
Consumer,Office Supplies,Binders,West,6.27,5.0,0.7,-4.598
Consumer,Office Supplies,Binders,West,4.368,7.0,0.7,-3.3488
Home Office,Office Supplies,Art,West,119.04,6.0,0.0,30.9504
Consumer,Office Supplies,Binders,Central,3.798,1.0,0.8,-6.0768
Consumer,Office Supplies,Appliances,West,119.96,2.0,0.0,33.5888
Consumer,Technology,Phones,West,623.96,5.0,0.2,38.9975
Consumer,Office Supplies,Binders,West,6.88,1.0,0.2,2.322
Consumer,Furniture,Chairs,East,272.646,3.0,0.1,18.1764
Corporate,Furniture,Chairs,Central,1106.91,9.0,0.0,121.7601
Corporate,Furniture,Tables,East,661.176,2.0,0.4,-231.4116
Consumer,Office Supplies,Paper,East,26.38,1.0,0.0,12.1348
Consumer,Office Supplies,Supplies,South,7.632,3.0,0.2,-1.8126
Consumer,Furniture,Tables,South,356.85,5.0,0.0,60.6645
Consumer,Office Supplies,Paper,Central,6.48,1.0,0.0,3.1104
Consumer,Office Supplies,Appliances,West,83.42,2.0,0.0,24.1918
Consumer,Office Supplies,Art,Central,28.032,6.0,0.2,3.504
Corporate,Furniture,Furnishings,South,31.984,2.0,0.2,1.999
Corporate,Technology,Phones,South,71.984,2.0,0.2,25.1944
Consumer,Office Supplies,Storage,Central,84.784,2.0,0.2,-16.9568
Corporate,Office Supplies,Appliances,West,45.96,2.0,0.0,13.788
Corporate,Office Supplies,Envelopes,East,23.99,1.0,0.0,11.995
Consumer,Technology,Phones,Central,323.976,3.0,0.2,36.4473
Corporate,Office Supplies,Binders,East,4.923,3.0,0.7,-3.9384
Corporate,Office Supplies,Art,West,39.68,2.0,0.0,10.3168
Corporate,Furniture,Tables,West,447.84,5.0,0.2,11.196
Consumer,Office Supplies,Paper,West,166.44,3.0,0.0,79.8912
Consumer,Office Supplies,Paper,South,195.64,4.0,0.0,91.9508
Home Office,Technology,Accessories,West,29.29,1.0,0.0,9.6657
Corporate,Technology,Phones,West,28.784,2.0,0.2,2.8784
Consumer,Office Supplies,Binders,Central,2.694,3.0,0.8,-4.7145
Consumer,Office Supplies,Binders,East,10.76,2.0,0.0,5.1648
Consumer,Office Supplies,Paper,West,22.92,3.0,0.0,11.2308
Consumer,Office Supplies,Storage,Central,100.704,6.0,0.2,-16.3644
Consumer,Furniture,Furnishings,Central,2.328,2.0,0.6,-0.7566
Corporate,Office Supplies,Art,East,8.94,3.0,0.0,2.4138
Consumer,Office Supplies,Fasteners,Central,58.368,12.0,0.2,21.888
Consumer,Furniture,Furnishings,South,275.88,6.0,0.0,46.8996
Consumer,Technology,Phones,Central,71.96,5.0,0.2,25.186
Consumer,Office Supplies,Art,South,27.9,5.0,0.0,6.975
Consumer,Office Supplies,Binders,Central,1.192,2.0,0.8,-2.0264
Consumer,Office Supplies,Binders,West,46.672,2.0,0.2,16.3352
Consumer,Furniture,Bookcases,West,119.833,1.0,0.15,-12.6882
Consumer,Technology,Accessories,West,119.98,2.0,0.0,57.5904
Corporate,Office Supplies,Labels,West,6.3,2.0,0.0,3.024
Consumer,Technology,Machines,East,480.0,4.0,0.0,225.6
Consumer,Technology,Accessories,South,619.95,5.0,0.0,111.591
Consumer,Office Supplies,Paper,South,4.36,2.0,0.0,2.0492
Corporate,Office Supplies,Binders,Central,0.836,1.0,0.8,-1.3376
Consumer,Office Supplies,Labels,East,20.7,2.0,0.0,9.936
Consumer,Office Supplies,Art,South,22.96,7.0,0.0,6.6584
Home Office,Office Supplies,Paper,West,163.96,4.0,0.0,80.3404
Consumer,Office Supplies,Art,South,6.63,3.0,0.0,1.7901
Corporate,Office Supplies,Labels,East,9.96,2.0,0.0,4.5816
Corporate,Office Supplies,Appliances,East,1737.18,6.0,0.0,503.7822
Home Office,Office Supplies,Art,Central,10.16,1.0,0.0,2.6416
Consumer,Office Supplies,Appliances,Central,53.088,7.0,0.8,-108.8304
Corporate,Technology,Phones,West,31.984,2.0,0.2,-7.996
Home Office,Office Supplies,Labels,East,24.64,8.0,0.0,11.8272
Consumer,Office Supplies,Envelopes,South,63.9,5.0,0.0,28.755
Corporate,Office Supplies,Paper,West,19.44,3.0,0.0,9.3312
Home Office,Office Supplies,Storage,East,124.608,4.0,0.2,-23.364
Consumer,Technology,Accessories,West,538.92,9.0,0.0,80.838
Consumer,Office Supplies,Binders,South,6.408,4.0,0.7,-4.9128
Corporate,Office Supplies,Envelopes,Central,287.52,8.0,0.0,129.384
Corporate,Office Supplies,Appliances,Central,37.68,2.0,0.0,10.5504
Corporate,Office Supplies,Envelopes,South,17.94,3.0,0.0,8.7906
Corporate,Office Supplies,Art,Central,20.58,7.0,0.0,5.5566
Corporate,Office Supplies,Binders,Central,17.38,2.0,0.0,8.69
Home Office,Office Supplies,Binders,Central,74.76,3.0,0.0,34.3896
Corporate,Technology,Phones,South,15.984,2.0,0.2,1.3986
Corporate,Office Supplies,Envelopes,West,57.9,5.0,0.0,28.95
Consumer,Technology,Machines,West,686.32,2.0,0.2,223.054
Consumer,Technology,Machines,East,6999.96,4.0,0.0,2239.9872
Consumer,Technology,Copiers,East,8399.976,4.0,0.4,1119.9968
Home Office,Office Supplies,Paper,West,26.4,5.0,0.0,12.672
Consumer,Office Supplies,Binders,East,8.952,2.0,0.7,-7.46
Consumer,Technology,Phones,Central,10.95,1.0,0.0,0.438
Consumer,Technology,Copiers,Central,599.98,2.0,0.0,209.993
Corporate,Furniture,Furnishings,East,8.352,6.0,0.2,1.2528
Corporate,Office Supplies,Art,West,3.64,2.0,0.0,1.638
Corporate,Office Supplies,Binders,West,159.768,7.0,0.2,53.9217
Consumer,Office Supplies,Storage,East,295.4,5.0,0.2,-62.7725
Home Office,Furniture,Tables,South,2244.48,7.0,0.0,493.7856
Home Office,Office Supplies,Binders,South,62.31,3.0,0.0,29.2857
Home Office,Furniture,Tables,South,455.1,2.0,0.0,100.122
Corporate,Furniture,Chairs,East,239.96,10.0,0.3,-10.284
Consumer,Office Supplies,Paper,East,110.96,2.0,0.0,53.2608
Corporate,Office Supplies,Storage,East,64.96,4.0,0.0,9.744
Consumer,Office Supplies,Paper,West,5.98,1.0,0.0,2.691
Home Office,Office Supplies,Storage,East,128.34,6.0,0.0,37.2186
Corporate,Technology,Phones,East,629.95,5.0,0.0,163.787
Corporate,Technology,Phones,Central,239.976,3.0,0.2,26.9973
Consumer,Office Supplies,Fasteners,East,21.48,6.0,0.0,10.5252
Consumer,Technology,Accessories,West,447.93,9.0,0.0,49.2723
Consumer,Technology,Phones,East,19.98,2.0,0.0,5.1948
Consumer,Office Supplies,Appliances,South,163.44,3.0,0.0,45.7632
Consumer,Office Supplies,Paper,East,19.44,3.0,0.0,9.3312
Consumer,Office Supplies,Storage,East,31.92,4.0,0.0,8.2992
Consumer,Office Supplies,Storage,Central,1297.368,9.0,0.2,97.3026
Corporate,Technology,Accessories,Central,39.89,1.0,0.0,14.7593
Consumer,Office Supplies,Binders,Central,5.176,4.0,0.8,-7.764
Consumer,Furniture,Furnishings,East,19.92,4.0,0.0,6.5736
Home Office,Office Supplies,Supplies,East,27.93,3.0,0.0,8.0997
Consumer,Office Supplies,Binders,South,27.396,3.0,0.7,-20.0904
Home Office,Office Supplies,Art,East,16.656,3.0,0.2,3.3312
Consumer,Technology,Phones,East,179.97,3.0,0.0,44.9925
Home Office,Technology,Accessories,Central,258.696,3.0,0.2,64.674
Consumer,Technology,Phones,East,1322.93,7.0,0.0,357.1911
Home Office,Office Supplies,Binders,West,22.848,2.0,0.2,7.4256
Corporate,Furniture,Bookcases,East,482.94,6.0,0.5,-376.6932
Consumer,Technology,Accessories,South,23.472,3.0,0.2,4.9878
Consumer,Office Supplies,Paper,West,10.56,2.0,0.0,5.0688
Corporate,Office Supplies,Storage,West,485.88,6.0,0.0,9.7176
Corporate,Office Supplies,Paper,West,25.92,4.0,0.0,12.4416
Corporate,Office Supplies,Storage,West,197.58,2.0,0.0,53.3466
Home Office,Technology,Accessories,East,72.0,1.0,0.2,14.4
Home Office,Technology,Phones,West,889.536,8.0,0.2,66.7152
Home Office,Furniture,Chairs,West,892.224,3.0,0.2,89.2224
Consumer,Furniture,Furnishings,Central,30.344,2.0,0.6,-31.8612
Home Office,Office Supplies,Paper,West,23.12,4.0,0.0,11.3288
Corporate,Office Supplies,Paper,South,15.552,3.0,0.2,5.4432
Corporate,Office Supplies,Labels,West,3.15,1.0,0.0,1.512
Consumer,Furniture,Furnishings,West,199.8,10.0,0.0,71.928
Corporate,Furniture,Furnishings,South,55.968,1.0,0.2,-2.0988
Consumer,Technology,Accessories,Central,431.928,9.0,0.2,64.7892
Consumer,Furniture,Chairs,Central,95.984,4.0,0.3,-4.1136
Consumer,Office Supplies,Binders,Central,1088.792,4.0,0.8,-1850.9464
Corporate,Furniture,Chairs,West,544.008,3.0,0.2,40.8006
Corporate,Office Supplies,Binders,West,1.872,3.0,0.7,-1.4352
Corporate,Furniture,Chairs,West,854.352,3.0,0.2,10.6794
Corporate,Office Supplies,Storage,West,593.568,2.0,0.2,0.0
Corporate,Office Supplies,Storage,West,338.04,3.0,0.2,-33.804
Consumer,Office Supplies,Binders,East,99.846,9.0,0.7,-83.205
Corporate,Office Supplies,Storage,East,11.21,1.0,0.0,3.363
Home Office,Technology,Accessories,Central,159.8,4.0,0.0,70.312
Home Office,Office Supplies,Paper,West,47.9,1.0,0.0,22.992
Corporate,Office Supplies,Art,East,41.86,7.0,0.0,10.465
Consumer,Office Supplies,Storage,East,156.512,4.0,0.2,-35.2152
Corporate,Office Supplies,Binders,South,12.06,5.0,0.7,-10.05
Consumer,Office Supplies,Paper,West,73.68,6.0,0.0,34.6296
Corporate,Office Supplies,Binders,East,3.036,2.0,0.7,-2.3276
Corporate,Office Supplies,Binders,East,4.503,1.0,0.7,-3.6024
Corporate,Technology,Accessories,West,149.95,5.0,0.0,31.4895
Corporate,Technology,Accessories,East,95.88,3.0,0.2,28.764
Consumer,Office Supplies,Appliances,West,8.67,1.0,0.0,2.3409
Corporate,Technology,Accessories,East,258.696,3.0,0.2,64.674
Corporate,Technology,Phones,East,1931.958,7.0,0.4,-386.3916
Home Office,Office Supplies,Storage,West,249.75,9.0,0.0,44.955
Home Office,Technology,Phones,West,255.936,8.0,0.2,28.7928
Corporate,Technology,Phones,East,566.97,3.0,0.0,153.0819
Consumer,Technology,Accessories,East,78.15,1.0,0.0,34.386
Home Office,Office Supplies,Binders,East,99.588,2.0,0.7,-82.99
Consumer,Office Supplies,Paper,East,40.56,4.0,0.0,19.8744
Consumer,Office Supplies,Storage,East,191.88,6.0,0.0,19.188
Consumer,Office Supplies,Storage,East,193.86,2.0,0.0,11.6316
Consumer,Technology,Accessories,West,79.98,2.0,0.0,26.3934
Consumer,Furniture,Furnishings,West,8.73,1.0,0.0,2.9682
Consumer,Office Supplies,Art,West,5.68,2.0,0.0,1.7608
Corporate,Office Supplies,Appliances,South,20.808,3.0,0.2,1.8207
Home Office,Office Supplies,Labels,East,4.928,2.0,0.2,1.7248
Corporate,Technology,Copiers,East,839.988,2.0,0.4,69.999
Consumer,Furniture,Furnishings,South,47.952,3.0,0.2,13.7862
Consumer,Office Supplies,Binders,South,37.425,5.0,0.7,-29.94
Consumer,Furniture,Furnishings,South,63.968,2.0,0.2,0.0
Consumer,Furniture,Furnishings,South,165.048,3.0,0.2,41.262
Home Office,Technology,Phones,Central,131.98,2.0,0.0,35.6346
Consumer,Office Supplies,Art,West,40.97,1.0,0.0,10.6522
Corporate,Furniture,Furnishings,West,33.11,7.0,0.0,12.9129
Home Office,Technology,Phones,East,22.0,4.0,0.0,5.5
Consumer,Technology,Accessories,East,212.8,2.0,0.0,95.76
Corporate,Furniture,Furnishings,East,210.68,2.0,0.0,50.5632
Consumer,Office Supplies,Paper,South,12.96,2.0,0.0,6.2208
Consumer,Office Supplies,Paper,South,154.9,5.0,0.0,69.705
Consumer,Furniture,Tables,West,3610.848,12.0,0.2,135.4068
Home Office,Furniture,Chairs,West,2676.672,9.0,0.2,267.6672
Home Office,Office Supplies,Appliances,Central,186.732,1.0,0.1,41.496
Corporate,Office Supplies,Envelopes,East,8.856,3.0,0.2,2.8782
Corporate,Office Supplies,Paper,Central,15.552,3.0,0.2,5.4432
Consumer,Office Supplies,Art,East,3.2,2.0,0.0,1.376
Consumer,Technology,Phones,Central,1099.96,4.0,0.0,285.9896
Home Office,Office Supplies,Art,East,5.248,2.0,0.2,0.5904
Home Office,Technology,Phones,East,35.91,3.0,0.4,-8.379
Consumer,Office Supplies,Paper,Central,36.544,2.0,0.2,11.8768
Home Office,Office Supplies,Binders,Central,18.24,3.0,0.0,8.5728
Consumer,Technology,Phones,East,118.65,5.0,0.4,19.775
Consumer,Office Supplies,Binders,Central,2.892,3.0,0.8,-4.9164
Home Office,Technology,Accessories,South,255.68,8.0,0.2,76.704
Home Office,Office Supplies,Fasteners,Central,3.488,2.0,0.2,0.5668
Corporate,Office Supplies,Supplies,West,17.584,7.0,0.2,-4.1762
Consumer,Office Supplies,Storage,East,33.48,2.0,0.0,1.3392
Consumer,Technology,Phones,Central,69.9,2.0,0.0,18.873
Consumer,Furniture,Furnishings,Central,41.85,5.0,0.0,10.881
Consumer,Office Supplies,Art,West,6.57,3.0,0.0,1.7739
Corporate,Office Supplies,Binders,South,32.54,2.0,0.0,15.9446
Corporate,Furniture,Chairs,South,701.96,2.0,0.0,168.4704
Consumer,Office Supplies,Binders,West,18.72,5.0,0.2,6.552
Home Office,Furniture,Furnishings,East,7.712,2.0,0.2,1.7352
Corporate,Office Supplies,Storage,Central,102.336,4.0,0.2,-12.792
Corporate,Office Supplies,Appliances,Central,48.792,3.0,0.8,-126.8592
Corporate,Furniture,Chairs,West,563.24,5.0,0.2,56.324
Corporate,Furniture,Furnishings,East,210.68,2.0,0.0,50.5632
Corporate,Furniture,Furnishings,West,46.9,5.0,0.0,13.132
Consumer,Office Supplies,Paper,Central,14.352,3.0,0.2,5.2026
Corporate,Office Supplies,Paper,South,10.368,2.0,0.2,3.6288
Consumer,Technology,Phones,Central,8.78,1.0,0.0,2.2828
Home Office,Office Supplies,Storage,West,66.96,4.0,0.0,2.6784
Corporate,Technology,Accessories,South,83.88,4.0,0.0,30.1968
Consumer,Technology,Phones,Central,278.4,3.0,0.0,80.736
Consumer,Furniture,Furnishings,West,25.08,6.0,0.0,9.0288
Consumer,Office Supplies,Binders,South,17.43,1.0,0.7,-13.363
Consumer,Furniture,Tables,Central,1184.72,4.0,0.0,106.6248
Consumer,Office Supplies,Binders,Central,2.772,7.0,0.8,-4.851
Consumer,Office Supplies,Paper,South,310.688,7.0,0.2,108.7408
Home Office,Office Supplies,Art,East,15.48,3.0,0.0,4.4892
Consumer,Technology,Phones,West,552.0,10.0,0.2,34.5
Home Office,Office Supplies,Art,East,11.96,2.0,0.0,3.1096
Corporate,Office Supplies,Art,East,20.82,3.0,0.0,7.4952
Home Office,Office Supplies,Binders,West,13.216,4.0,0.2,4.4604
Home Office,Office Supplies,Paper,West,32.4,5.0,0.0,15.552
Consumer,Office Supplies,Supplies,West,32.94,3.0,0.0,9.2232
Consumer,Office Supplies,Paper,West,114.2,5.0,0.0,52.532
Consumer,Office Supplies,Labels,South,103.6,7.0,0.0,51.8
Consumer,Office Supplies,Appliances,West,845.728,13.0,0.2,84.5728
Corporate,Technology,Phones,Central,329.584,2.0,0.2,37.0782
Corporate,Office Supplies,Binders,West,20.72,2.0,0.2,6.475
Corporate,Technology,Phones,Central,114.95,5.0,0.0,2.299
Consumer,Office Supplies,Storage,West,26.96,2.0,0.0,7.0096
Consumer,Office Supplies,Binders,East,9.28,2.0,0.2,3.248
Consumer,Office Supplies,Binders,East,18.528,4.0,0.7,-12.352
Corporate,Technology,Machines,East,449.1,3.0,0.7,-643.71
Home Office,Office Supplies,Labels,East,14.94,3.0,0.0,6.8724
Corporate,Office Supplies,Art,East,4.672,1.0,0.2,0.584
Corporate,Office Supplies,Art,West,70.95,3.0,0.0,18.447
Consumer,Office Supplies,Paper,West,46.76,7.0,0.0,22.4448
Consumer,Office Supplies,Binders,West,17.712,3.0,0.2,6.4206
Consumer,Office Supplies,Appliances,West,21.78,2.0,0.0,5.6628
Consumer,Office Supplies,Storage,West,161.94,3.0,0.0,9.7164
Corporate,Technology,Accessories,South,1319.96,4.0,0.0,527.984
Consumer,Office Supplies,Labels,East,3.69,1.0,0.0,1.7343
Consumer,Office Supplies,Labels,East,122.12,4.0,0.0,56.1752
Consumer,Office Supplies,Art,South,34.58,1.0,0.0,10.0282
Consumer,Office Supplies,Art,East,38.34,9.0,0.0,15.7194
Corporate,Furniture,Furnishings,West,183.84,8.0,0.0,62.5056
Consumer,Office Supplies,Appliances,South,197.72,4.0,0.0,55.3616
Consumer,Technology,Accessories,East,14.2,1.0,0.2,3.3725
Consumer,Technology,Copiers,South,479.984,2.0,0.2,89.997
Corporate,Office Supplies,Binders,South,5.184,6.0,0.7,-3.6288
Consumer,Office Supplies,Binders,East,5.229,3.0,0.7,-4.1832
Consumer,Office Supplies,Storage,East,285.552,2.0,0.2,35.694
Consumer,Office Supplies,Appliances,South,72.8,5.0,0.0,19.656
Consumer,Office Supplies,Paper,South,10.816,4.0,0.2,3.5152
Consumer,Office Supplies,Paper,Central,5.184,1.0,0.2,1.8792
Home Office,Furniture,Furnishings,South,67.96,4.0,0.0,12.2328
Home Office,Furniture,Furnishings,East,51.072,6.0,0.2,5.1072
Corporate,Office Supplies,Paper,East,11.34,1.0,0.0,5.5566
Home Office,Technology,Phones,South,89.9,2.0,0.0,25.172
Consumer,Technology,Accessories,West,989.97,3.0,0.0,395.988
Consumer,Furniture,Bookcases,West,307.666,2.0,0.15,28.9568
Home Office,Furniture,Chairs,West,915.136,4.0,0.2,102.9528
Consumer,Office Supplies,Binders,Central,1.08,3.0,0.8,-1.728
Home Office,Office Supplies,Storage,West,40.74,3.0,0.0,0.4074
Consumer,Office Supplies,Art,West,8.34,3.0,0.0,2.2518
Consumer,Office Supplies,Storage,East,552.56,4.0,0.0,0.0
Consumer,Furniture,Furnishings,West,25.11,3.0,0.0,6.5286
Consumer,Furniture,Furnishings,East,29.78,2.0,0.0,8.0406
Consumer,Office Supplies,Appliances,Central,15.224,2.0,0.8,-38.8212
Consumer,Office Supplies,Paper,East,75.04,8.0,0.0,36.0192
Consumer,Furniture,Furnishings,West,11.664,3.0,0.2,3.3534
Corporate,Office Supplies,Binders,South,15.66,5.0,0.7,-12.528
Consumer,Office Supplies,Binders,West,53.984,14.0,0.2,17.5448
Consumer,Office Supplies,Art,East,47.82,3.0,0.0,14.346
Corporate,Office Supplies,Appliances,Central,24.588,3.0,0.8,-67.617
Consumer,Office Supplies,Art,West,22.96,7.0,0.0,6.6584
Consumer,Office Supplies,Paper,Central,47.18,7.0,0.0,23.59
Corporate,Technology,Machines,East,5199.96,4.0,0.0,1351.9896
Consumer,Office Supplies,Binders,Central,53.4,10.0,0.0,25.098
Consumer,Technology,Accessories,Central,431.136,9.0,0.2,-26.946
Home Office,Office Supplies,Paper,East,4.064,1.0,0.2,1.3716
Consumer,Furniture,Furnishings,East,303.92,5.0,0.2,-30.392
Corporate,Office Supplies,Binders,West,49.408,4.0,0.2,18.528
Consumer,Office Supplies,Storage,Central,129.3,2.0,0.0,6.465
Consumer,Office Supplies,Paper,East,17.34,3.0,0.0,8.4966
Consumer,Office Supplies,Storage,Central,220.776,3.0,0.2,-44.1552
Corporate,Office Supplies,Paper,West,19.44,3.0,0.0,9.3312
Consumer,Office Supplies,Paper,South,79.14,3.0,0.0,36.4044
Consumer,Office Supplies,Envelopes,West,54.9,5.0,0.0,26.901
Corporate,Office Supplies,Art,West,13.12,4.0,0.0,3.8048
Corporate,Office Supplies,Appliances,Central,65.52,5.0,0.1,12.376
Consumer,Office Supplies,Storage,Central,264.32,2.0,0.2,19.824
Consumer,Office Supplies,Appliances,East,22.75,7.0,0.0,6.5975
Consumer,Office Supplies,Art,Central,3.52,2.0,0.0,1.6896
