carat,cut,color,clarity,depth,table,price,x,y,z
1,Very Good,G,VVS1,62.3,56,7507,6.29,6.4,3.95
0.38,Ideal,H,VS1,62.2,53.7,768,4.63,4.68,2.9
1.24,Ideal,E,SI2,59.2,55,5444,7.05,7.03,4.17
1.23,Very Good,H,VS2,62.4,58,6848,6.8,6.85,4.26
0.71,Very Good,H,VVS2,61.8,56,2960,5.7,5.73,3.53
0.53,Ideal,F,IF,61.3,57,2682,5.21,5.19,3.19
0.8,Very Good,D,SI2,63.7,57,2708,5.87,5.9,3.75
0.72,Premium,E,SI2,61.7,58,2125,5.79,5.74,3.56
0.81,Ideal,H,SI1,62.8,57,2482,5.95,5.92,3.73
0.7,Very Good,E,SI1,62.6,56,2459,5.65,5.69,3.55
1.25,Premium,E,VS2,61.5,58,10640,6.98,6.91,4.27
0.71,Good,F,VVS2,58.9,61,2960,5.8,5.9,3.44
0.74,Ideal,G,VS1,61.8,55,2960,5.85,5.8,3.6
0.61,Good,E,SI2,63.1,56,1408,5.4,5.44,3.42
1.33,Fair,G,SI2,63,62,6078,6.9,6.87,4.34
1.4,Premium,F,SI2,59.9,60,7479,7.38,7.29,4.39
1.24,Very Good,I,SI2,61.6,59,5497,6.87,6.9,4.24
1.01,Ideal,G,SI1,62.9,56,5107,6.39,6.43,4.03
1.07,Premium,D,VS1,62,60,8359,6.55,6.49,4.04
0.31,Ideal,I,SI1,60.8,56,436,4.38,4.41,2.67
1.01,Very Good,G,VS1,62.8,58,6152,6.34,6.37,3.99
1.33,Premium,F,SI2,60.7,62,5288,7.12,7.07,4.31
0.53,Ideal,F,VS1,61.8,56,1908,5.22,5.2,3.22
0.96,Premium,E,SI2,60.4,56,2961,6.32,6.23,3.79
1.27,Premium,H,VS2,61.1,58,7849,6.96,6.88,4.23
1.03,Ideal,E,SI2,61.7,55,5491,6.52,6.46,4.01
0.3,Premium,H,SI1,61.2,62,540,4.31,4.28,2.63
0.39,Premium,F,VVS1,62.7,57,1290,4.68,4.64,2.92
0.58,Ideal,E,VS1,62.9,54,2192,5.34,5.31,3.35
0.3,Ideal,G,VVS2,61.8,56,665,4.31,4.33,2.67
1.25,Very Good,G,VVS1,60.6,60,10962,6.92,6.95,4.2
0.32,Ideal,G,VVS1,61.8,55,814,4.4,4.43,2.73
0.71,Very Good,D,SI1,59.4,59,2964,5.78,5.81,3.44
0.28,Very Good,D,VS1,60.5,58,458,4.23,4.26,2.57
0.4,Ideal,E,SI1,62.2,55,945,4.75,4.71,2.94
0.3,Very Good,H,VVS2,60.8,58,605,4.34,4.37,2.65
0.45,Premium,J,SI2,60.9,57,720,4.95,4.9,3.05
0.51,Ideal,D,VS2,61.4,57,1807,5.16,5.13,3.16
0.4,Premium,G,VVS1,60.3,58,1155,4.83,4.79,2.9
0.9,Premium,J,VS1,62.1,62,2964,6.12,6.05,3.78
1,Fair,G,SI1,65.7,54,2964,6.24,6.16,4.07
0.27,Ideal,H,VVS2,62.1,57,623,4.15,4.1,2.56
1.24,Very Good,I,VS2,60,58,6134,6.98,7.03,4.2
0.4,Very Good,E,VVS2,60.3,59,1017,4.74,4.78,2.87
0.42,Ideal,F,SI1,61.5,55,931,4.82,4.84,2.97
0.41,Very Good,D,VS2,62.1,53,912,4.78,4.82,2.98
0.51,Fair,F,VS2,61,66,1334,5.12,5.04,3.1
0.5,Premium,E,SI1,63,58,1415,5.08,5.04,3.19
1.51,Good,I,VVS1,64,60,9301,7.21,7.26,4.63
0.72,Very Good,G,SI2,62.1,59,2015,5.66,5.73,3.54
0.34,Ideal,F,VVS2,59.1,57,1071,4.66,4.61,2.74
1.54,Very Good,I,VS2,62.2,58,8656,7.32,7.37,4.57
0.52,Ideal,G,VS1,62.7,56,1689,5.14,5.16,3.23
0.75,Ideal,F,SI1,61.2,55,2966,5.87,5.92,3.61
1.25,Premium,E,VS1,61.5,59,11088,6.95,6.91,4.26
0.84,Ideal,H,SI2,63,56,2628,6.04,6.02,3.8
0.38,Ideal,I,VVS2,63.4,53,809,4.61,4.63,2.93
0.86,Very Good,G,SI2,62.6,56,2967,6.01,6.07,3.78
0.64,Good,H,VS1,61.8,60.3,1786,5.47,5.53,3.4
0.53,Ideal,H,VS2,62.4,56,1412,5.18,5.17,3.23
0.38,Ideal,G,VS1,62.4,54,759,4.63,4.67,2.9
0.51,Ideal,E,VS2,62.4,57,1781,5.13,5.1,3.19
0.3,Very Good,H,VVS2,62,56,559,4.28,4.3,2.66
0.31,Very Good,G,VS2,62.6,56,559,4.33,4.37,2.72
0.44,Very Good,G,VVS2,60.9,57,1081,4.89,4.93,2.99
1.07,Premium,F,VS2,62.4,57,6274,6.55,6.5,4.07
0.47,Ideal,G,SI2,61.3,56,784,4.98,5.01,3.06
0.33,Very Good,G,VVS1,61.2,57,795,4.4,4.44,2.71
1,Premium,H,VS2,62.4,59,5404,6.75,6.72,4.2
0.24,Ideal,G,VVS1,62,55,559,4.01,4.03,2.49
0.24,Ideal,G,VVS1,62,56,559,3.97,4.01,2.47
0.32,Ideal,D,VVS2,61.3,55.8,1048,4.43,4.44,2.71
0.5,Very Good,G,VS1,61.3,58,1592,5.03,5.09,3.1
0.28,Very Good,E,VVS2,61.4,60,596,4.18,4.22,2.58
0.36,Ideal,D,VS2,61.8,56,1094,4.6,4.56,2.83
0.24,Ideal,G,IF,61.8,55,559,3.99,4.02,2.47
0.59,Ideal,G,SI2,60.6,56,1258,5.44,5.46,3.3
0.66,Very Good,H,VS1,61.6,58.1,1978,5.54,5.58,3.42
0.33,Premium,G,VS1,61.9,58,666,4.43,4.46,2.75
0.5,Premium,F,VS2,62.4,60,1654,5.08,5.05,3.16
0.54,Ideal,I,VS2,60.1,58,1266,5.28,5.34,3.19
0.36,Ideal,G,SI1,62.7,55,689,4.59,4.54,2.86
0.36,Premium,D,SI2,63,59,643,4.52,4.49,2.84
0.27,Premium,H,VVS2,60.7,59,486,4.19,4.21,2.55
0.5,Very Good,G,VS1,62.9,55,1592,5.06,5.09,3.19
0.53,Ideal,E,SI1,61.2,54,1303,5.21,5.25,3.2
0.77,Ideal,I,VS2,61.2,59,2558,5.91,5.95,3.63
0.34,Very Good,D,VS2,60,59,730,4.5,4.56,2.72
0.34,Premium,I,VVS1,60.5,59,803,4.54,4.48,2.73
0.75,Very Good,E,SI1,60.2,60,2968,5.89,5.93,3.56
0.43,Ideal,G,VVS1,61.4,55,1264,4.91,4.86,3
0.3,Very Good,H,VS1,63.2,58,630,4.26,4.22,2.68
3,Fair,H,I1,67.1,57,8044,8.93,8.84,5.97
2.02,Very Good,I,VS2,58.8,57,14620,8.21,8.29,4.85
0.5,Premium,H,VVS1,62.5,58,1710,5.05,5.1,3.17
1.06,Ideal,E,SI1,61.8,56,6114,6.59,6.52,4.05
0.61,Ideal,G,IF,61.8,52,2601,5.46,5.55,3.4
0.59,Very Good,H,IF,61.7,56,2317,5.42,5.48,3.36
0.7,Good,F,VS1,63.8,58,2970,5.58,5.61,3.57
1.52,Ideal,G,VVS1,61.4,57,16343,7.38,7.4,4.54
0.3,Ideal,D,VS2,60.8,57,710,4.33,4.38,2.65
1.38,Premium,H,VS1,61,60,7233,7.21,7.16,4.38
0.91,Fair,F,SI1,64.9,57,2971,6.13,6.08,3.96
0.4,Premium,G,VVS1,62.3,58,1123,4.66,4.72,2.92
0.5,Premium,E,VS2,62.6,60,1629,5.03,5,3.14
0.34,Ideal,F,VS1,62.1,57,745,4.49,4.53,2.8
0.32,Very Good,F,VVS2,62.3,57,778,4.38,4.41,2.73
1.23,Premium,E,SI1,59.2,62,7274,7.05,7,4.16
1.51,Very Good,E,VS2,62.4,58,13623,7.26,7.33,4.55
0.75,Ideal,G,VS1,62.3,57,2973,5.83,5.86,3.64
4.01,Premium,I,I1,61,61,15223,10.14,10.1,6.17
0.6,Ideal,E,SI1,61.4,58,1749,5.44,5.47,3.35
0.3,Ideal,F,VS1,61.5,55,754,4.35,4.33,2.67
0.4,Ideal,G,VVS1,61.4,55,1123,4.72,4.76,2.91
0.7,Premium,H,VS1,62.3,59,2293,5.71,5.66,3.54
0.73,Very Good,J,VS2,60.6,61,1952,5.77,5.81,3.51
0.9,Good,H,SI1,64.2,60,2974,6.05,6.02,3.87
0.33,Premium,G,VVS1,61.2,60,1114,4.44,4.42,2.71
1.09,Ideal,D,SI2,62.1,56,5258,6.59,6.56,4.08
0.34,Ideal,E,IF,61.7,56,1243,4.48,4.46,2.76
0.7,Ideal,G,SI1,61,56,2480,5.77,5.8,3.53
0.82,Very Good,E,SI2,63.3,56,2975,5.99,5.95,3.78
0.8,Ideal,F,SI1,62.8,54,2975,5.9,5.97,3.74
0.65,Ideal,E,VS2,62,56,2282,5.6,5.57,3.46
0.31,Good,G,VVS1,58,62,761,4.42,4.47,2.58
1.28,Very Good,H,SI2,60.2,58,5984,7.03,7.13,4.26
1.02,Ideal,F,SI1,60.1,59,5549,6.59,6.56,3.95
1.02,Very Good,E,SI1,60.5,63,4813,6.48,6.54,3.94
0.91,Ideal,I,SI2,63,54,2976,6.17,6.12,3.86
0.37,Premium,D,SI1,61,62,874,4.64,4.61,2.82
2,Good,G,SI1,64.2,59,17902,7.93,7.84,5.06
0.41,Ideal,I,VVS2,61.6,57,827,4.76,4.78,2.94
0.7,Premium,F,SI2,58.8,58,2234,5.82,5.77,3.41
1,Good,G,VS1,58.6,62,5921,6.5,6.53,3.82
0.7,Ideal,E,VS1,61.3,54,2978,5.77,5.83,3.54
0.52,Premium,F,SI1,59.5,59,1338,5.31,5.24,3.14
0.3,Ideal,F,VS2,60.7,57,776,4.34,4.29,2.62
1.17,Ideal,H,VS2,60.3,61,6324,6.84,6.8,4.11
1.51,Premium,E,VS2,60.7,60,14844,7.46,7.37,4.5
1.02,Ideal,G,VS2,62.8,57,6418,6.36,6.45,4.02
0.7,Ideal,E,VS2,61.5,57,2980,5.67,5.78,3.52
0.7,Good,D,SI1,61.3,61,2980,5.63,5.69,3.47
1.13,Premium,H,VS2,62.8,59,5571,6.63,6.58,4.15
0.52,Ideal,E,SI2,60.9,56,1232,5.2,5.23,3.17
0.41,Ideal,F,VVS2,62.5,56,1192,4.75,4.72,2.96
1.02,Very Good,H,SI1,64.4,59,5047,6.24,6.36,4.06
1.13,Premium,G,SI1,60.9,58,5600,6.75,6.72,4.1
1.51,Very Good,E,SI2,61.2,58,9140,7.3,7.35,4.48
0.23,Very Good,E,VVS2,61.8,59,465,3.92,3.95,2.43
1.5,Ideal,I,VS2,62.4,54.1,9730,7.3,7.35,4.57
1.15,Ideal,J,VS1,61.5,55,5152,6.81,6.76,4.17
0.72,Very Good,G,VS2,63.1,57,2732,5.74,5.71,3.61
0.23,Very Good,E,VS2,62.5,59,373,3.91,3.96,2.46
0.63,Premium,E,VS1,61.8,60,2064,5.51,5.49,3.4
1.57,Ideal,E,SI2,61.4,56,10550,7.52,7.44,4.59
1.21,Ideal,G,VS2,61.9,55,7996,6.9,6.84,4.25
0.51,Ideal,G,VVS2,61.2,55,1974,5.18,5.15,3.16
1.11,Premium,H,SI1,61.9,58,4960,6.63,6.59,4.09
1.53,Premium,I,SI1,62.6,57,9022,7.38,7.29,4.59
0.33,Premium,I,IF,59,61,891,4.56,4.49,2.67
0.82,Ideal,I,VS1,61.6,57,2986,6,6.05,3.71
0.56,Fair,E,VVS2,57.3,60,2426,5.5,5.57,3.17
0.3,Ideal,G,VS1,61.1,56,673,4.36,4.35,2.66
1.26,Ideal,J,VS2,63.2,57,5306,6.86,6.81,4.32
0.35,Premium,D,SI1,61.8,59,827,4.56,4.54,2.81
0.41,Good,E,VVS1,64.3,54,957,4.68,4.72,3.02
1.03,Very Good,G,I1,63.2,58,2988,6.44,6.34,4.04
0.76,Ideal,I,IF,61.6,55,2988,5.92,5.89,3.64
0.28,Ideal,D,VVS1,61.7,57,780,4.23,4.2,2.6
0.43,Very Good,E,VVS1,61.2,56,1433,4.84,4.87,2.97
1.55,Premium,H,VS2,60.7,58,11567,7.51,7.47,4.55
0.38,Ideal,F,SI1,61.7,56,766,4.68,4.72,2.9
1.25,Ideal,J,VS1,61.2,56,6793,6.93,6.95,4.25
0.75,Ideal,G,VS2,60.6,55,2991,5.91,5.93,3.59
0.32,Ideal,G,VS2,61.8,57,720,4.4,4.37,2.71
1.66,Ideal,F,I1,62.1,58,6135,7.6,7.56,4.71
0.75,Ideal,H,VVS2,62,55.1,2992,5.83,5.85,3.62
0.57,Very Good,G,SI1,63.4,57,1369,5.26,5.21,3.32
0.36,Good,E,SI2,63.7,54,505,4.52,4.55,2.89
0.73,Ideal,G,SI1,60.7,56,2659,5.89,5.81,3.55
0.33,Ideal,F,VVS1,61.9,55,939,4.46,4.47,2.76
0.33,Ideal,E,VS1,60.9,57,850,4.47,4.5,2.73
0.7,Ideal,F,VS1,62.4,55,2993,5.65,5.7,3.54
1.14,Premium,E,VVS2,59.7,58,10446,6.91,6.83,4.1
0.71,Good,I,VS1,61.5,64,2327,5.76,5.65,3.51
1,Ideal,E,VS2,61.3,58,7370,6.41,6.44,3.94
1.52,Ideal,F,VS2,62.8,55,14038,7.37,7.28,4.6
0.7,Fair,D,SI2,67.8,58,1770,5.51,5.44,3.71
1.54,Ideal,F,VS2,61.9,57,12978,7.42,7.35,4.57
1.24,Premium,J,I1,61.9,55,2994,6.92,6.85,4.26
0.5,Ideal,D,VS2,61.8,54,1628,5.13,5.16,3.18
0.3,Ideal,F,VS2,62,53.7,601,4.31,4.33,2.68
0.41,Very Good,F,SI1,63.3,58,904,4.74,4.71,2.99
0.7,Premium,F,SI1,60.1,56,2394,5.84,5.78,3.49
0.23,Very Good,D,VS2,61.6,58,402,3.96,3.99,2.45
1.21,Very Good,G,SI1,62.2,60,6190,6.71,6.73,4.18
1.53,Ideal,E,SI1,61.2,58,13324,7.39,7.44,4.54
0.3,Ideal,F,VS2,61.4,57,605,4.34,4.36,2.67
0.51,Very Good,G,VVS2,63.5,56,1842,5.11,5.07,3.23
0.52,Premium,I,VVS1,63,58,1619,5.12,5.1,3.22
0.4,Very Good,I,VVS1,63.3,57,1080,4.71,4.67,2.97
0.32,Ideal,D,VS2,62.5,56,972,4.45,4.38,2.76
0.5,Premium,F,VVS2,62.3,58,2160,5.11,5.06,3.17
0.85,Fair,G,VS1,57.7,67,2998,6.26,6.19,3.59
0.7,Very Good,D,VS2,59.7,59,2999,5.82,5.78,3.46
0.34,Fair,F,VS2,64.7,55,816,4.52,4.41,2.89
0.52,Ideal,F,SI2,61.5,55,1121,5.17,5.2,3.19
0.7,Ideal,H,VS2,62.8,55,2607,5.67,5.63,3.55
0.33,Ideal,J,VVS1,62.1,54,509,4.45,4.47,2.77
0.56,Ideal,E,SI1,61.7,56,1580,5.3,5.33,3.28
0.3,Very Good,G,VVS1,60.7,56,725,4.32,4.35,2.63
0.74,Premium,E,VS1,60.9,62,2999,5.83,5.8,3.54
1.54,Very Good,G,SI2,61.5,61,8808,7.35,7.42,4.54
0.77,Ideal,E,SI1,62.5,56,3000,5.87,5.91,3.68
1.18,Ideal,D,SI1,61.9,55,7087,6.76,6.8,4.2
0.9,Premium,I,SI2,60.6,60,3001,6.23,6.28,3.79
0.9,Very Good,I,SI2,62.5,58,3001,6.1,6.15,3.83
0.56,Ideal,D,VS2,62.7,57,1753,5.25,5.28,3.3
0.36,Ideal,H,IF,60.6,56,980,4.64,4.66,2.82
0.42,Ideal,G,VVS1,61.7,55,1235,4.84,4.78,2.97
1.5,Very Good,I,SI2,62.7,57,7392,7.28,7.35,4.59
0.33,Premium,G,VS1,61.8,59,854,4.45,4.39,2.73
0.6,Ideal,G,VVS1,62.1,56,3001,5.42,5.43,3.37
0.41,Ideal,H,VVS2,62.5,56,899,4.74,4.77,2.97
0.31,Premium,J,VS1,60.7,60,523,4.39,4.34,2.65
0.7,Premium,F,SI1,61,59,2423,5.75,5.69,3.49
0.3,Ideal,E,SI1,61.9,57,675,4.33,4.29,2.67
0.41,Ideal,H,VS1,61.9,56,827,4.75,4.78,2.95
0.4,Ideal,I,VVS1,60.5,57,1080,4.79,4.76,2.89
0.7,Premium,E,SI2,61.8,58,2037,5.73,5.7,3.53
0.3,Ideal,G,IF,61.8,55,863,4.32,4.36,2.68
1.4,Premium,D,VS1,62.8,58,13730,7.17,7.07,4.47
0.33,Very Good,I,VS2,61,61,463,4.43,4.46,2.71
1.52,Very Good,H,SI2,62.7,57,8194,7.32,7.36,4.6
0.31,Premium,F,SI1,62.7,58,516,4.31,4.33,2.71
0.81,Premium,F,SI1,61.9,58,3004,5.99,5.96,3.7
0.81,Ideal,F,SI1,61.8,55,3004,6.04,6,3.72
0.31,Good,F,VS2,63.4,56,625,4.29,4.32,2.73
0.32,Premium,I,VS1,61.9,58,505,4.36,4.4,2.71
0.78,Ideal,G,SI1,60.6,57,3004,5.95,5.97,3.61
1.21,Premium,J,VS1,60,60,5489,6.95,6.88,4.15
0.92,Premium,D,SI2,60.2,61,3004,6.32,6.27,3.79
0.75,Very Good,E,SI1,61.1,59,3005,5.85,5.9,3.59
0.59,Ideal,E,SI1,62,55,1789,5.4,5.37,3.34
2.02,Ideal,H,VS2,62.6,57,14182,8.01,7.97,5
0.72,Ideal,I,VS1,60.4,56,3005,5.8,5.86,3.52
0.33,Very Good,I,SI1,62.8,58,445,4.39,4.43,2.77
1.03,Very Good,D,SI1,61.8,57,5393,6.49,6.53,4.02
0.7,Good,D,SI1,64.2,60,2318,5.62,5.59,3.6
0.52,Ideal,F,SI2,61.3,55,1121,5.18,5.2,3.18
1.04,Ideal,G,VS2,61.4,57,6177,6.5,6.53,4
0.55,Premium,D,VVS1,60.3,59,3006,5.34,5.3,3.21
1.12,Very Good,H,SI1,62.3,55,5236,6.64,6.69,4.15
0.71,Ideal,I,VVS2,60.4,57,3007,5.78,5.81,3.5
1.46,Very Good,F,SI1,62.8,59,9770,7.13,7.18,4.49
0.6,Ideal,G,VS2,62.1,57,1746,5.43,5.36,3.35
1.04,Very Good,I,SI1,62.9,54,4948,6.42,6.49,4.06
1.6,Premium,G,VVS1,61.5,58,17204,7.48,7.58,4.63
1.2,Ideal,G,SI1,61.6,57,7372,6.85,6.88,4.23
0.52,Premium,G,VS1,61.7,56,1815,5.21,5.17,3.2
1.3,Premium,H,VS1,61.5,58,7855,6.98,6.96,4.29
1.51,Good,F,SI2,62.9,55,7875,7.22,7.28,4.56
1.08,Ideal,G,SI1,61.7,56,5439,6.6,6.63,4.08
1.22,Ideal,H,SI2,61,57,5502,6.88,6.93,4.2
0.3,Ideal,I,SI1,60.4,59,439,4.33,4.35,2.62
0.82,Premium,H,VS1,62.5,59,3008,5.96,5.94,3.72
1.52,Premium,F,VS2,59.4,55,14388,7.52,7.46,4.45
0.71,Very Good,E,VS1,62.1,57,3009,5.67,5.69,3.53
2.17,Premium,G,SI2,62.2,62,12321,8.32,8.24,5.15
1.27,Ideal,G,VS1,60.9,57,8543,7.02,6.97,4.26
0.51,Very Good,D,VVS2,63.1,58,2289,5.1,5.07,3.21
1.46,Very Good,I,SI1,62.5,57,7146,7.15,7.19,4.48
1.01,Good,G,VS2,63.6,60,5599,6.3,6.35,4.02
0.8,Ideal,D,SI1,62.2,57,3011,5.89,5.85,3.65
1.73,Premium,G,VS2,62.9,58,16960,7.65,7.58,4.79
1.01,Premium,G,VVS2,63,61,7665,6.36,6.34,4
1.61,Ideal,E,SI2,61.3,59,11220,7.47,7.57,4.61
0.24,Very Good,E,VS1,60.1,57,378,4.08,4.1,2.46
0.41,Very Good,F,SI2,62.6,54,612,4.75,4.77,2.98
0.33,Ideal,E,VS2,60.5,56,928,4.51,4.48,2.72
0.7,Ideal,F,VS2,61.9,55,3011,5.7,5.74,3.54
0.7,Very Good,F,SI1,61.4,57,2161,5.73,5.77,3.53
0.4,Ideal,H,SI2,62.6,55,540,4.7,4.72,2.95
0.7,Ideal,F,VS2,61.4,58,3011,5.7,5.73,3.51
0.7,Fair,I,VS1,60.2,66,2234,5.77,5.62,3.44
0.23,Very Good,G,VS1,62.2,55,391,3.93,3.95,2.45
0.75,Ideal,H,SI1,61.9,56,3011,5.81,5.85,3.61
1.2,Ideal,F,VS2,61.9,53,8669,6.84,6.79,4.22
0.32,Ideal,F,VS1,61.3,56,900,4.44,4.4,2.71
0.82,Ideal,E,SI2,62.2,57,3012,6,5.97,3.72
0.41,Very Good,E,SI2,63.3,56,818,4.73,4.69,2.98
0.72,Ideal,E,SI1,61,57,3012,5.77,5.8,3.53
0.5,Ideal,E,VS2,62.2,55,1746,5.09,5.07,3.16
0.37,Ideal,H,IF,61.8,55,936,4.65,4.67,2.88
0.35,Ideal,D,VS2,60.7,56,829,4.56,4.6,2.78
0.71,Very Good,F,VS1,62.1,53,3013,5.7,5.77,3.56
0.31,Premium,F,VS2,59.3,60,802,4.41,4.39,2.61
0.81,Ideal,E,SI2,61.8,56,3013,6,5.97,3.7
0.31,Ideal,H,IF,61.3,56,789,4.37,4.41,2.69
0.58,Ideal,H,SI1,60.6,56,1386,5.44,5.49,3.31
0.97,Fair,F,SI2,67.2,61,2338,6.09,6,4.06
1.5,Premium,J,VS2,59.6,60,7503,7.38,7.31,4.38
0.73,Very Good,D,SI1,60.8,59,3014,5.8,5.85,3.54
0.7,Very Good,F,VS2,63.9,59,2552,5.56,5.61,3.57
1.63,Ideal,H,SI1,61.9,57,11078,7.59,7.53,4.68
0.42,Very Good,D,VS1,60.7,60,1066,4.81,4.88,2.94
1.01,Ideal,G,VS2,62.4,56,5946,6.42,6.39,4
1.22,Ideal,F,VVS1,62,54,13539,6.88,6.9,4.27
0.3,Premium,G,VVS1,60.6,61,1013,4.35,4.33,2.63
0.51,Very Good,F,VS2,60.6,60,1601,5.18,5.22,3.15
0.51,Ideal,G,VVS1,60.8,56,1839,5.21,5.22,3.17
0.57,Ideal,E,VS2,61.3,57,2319,5.38,5.29,3.27
0.9,Good,F,SI2,64.2,62,3016,6,6.08,3.88
0.26,Very Good,E,VVS1,61.5,56,657,4.1,4.15,2.53
0.96,Premium,E,SI2,62.8,60,3016,6.3,6.24,3.94
0.54,Premium,G,VVS2,60.5,55,2090,5.28,5.24,3.18
0.3,Ideal,F,VVS1,61.9,57,1114,4.33,4.3,2.67
0.71,Very Good,F,VS1,61.8,60,3017,5.66,5.7,3.51
1.12,Premium,G,I1,60.3,60,3017,6.75,6.69,4.05
1.06,Premium,G,VVS1,61.1,58,8319,6.57,6.53,4
0.5,Good,D,VVS2,62.4,64,3017,5.03,5.06,3.14
0.44,Premium,E,VS2,60.4,59,1003,4.9,4.93,2.97
0.46,Ideal,H,VS1,61.2,55,1401,4.96,5.04,3.06
0.34,Ideal,I,IF,61.9,55,695,4.5,4.52,2.79
1.7,Ideal,H,I1,61.3,55,6397,7.7,7.63,4.7
0.71,Ideal,F,VVS2,62.6,56,3018,5.7,5.65,3.55
0.31,Premium,I,VS1,62.3,59,628,4.35,4.29,2.69
0.32,Ideal,F,VS2,61.9,56,645,4.37,4.39,2.71
1.02,Very Good,F,SI2,63.3,56,3018,6.38,6.31,4.02
2.03,Very Good,E,SI2,63.1,56,14646,8.01,7.99,5.05
1.51,Very Good,G,SI1,60.3,57,11836,7.44,7.48,4.5
0.7,Premium,I,VS1,62.9,61,2234,5.64,5.62,3.54
0.78,Premium,D,SI1,60.4,57,3019,6.02,5.97,3.62
0.39,Very Good,G,VVS2,62.1,55,875,4.67,4.7,2.91
1.12,Premium,F,VS1,61.2,58,7903,6.72,6.68,4.1
1,Very Good,E,VVS2,61,62,8638,6.4,6.46,3.92
0.53,Ideal,F,VS1,62.4,57,1832,5.18,5.21,3.24
0.34,Ideal,G,VS2,61.3,55,765,4.51,4.49,2.76
1.12,Premium,H,VS2,60.6,59,6052,6.77,6.7,4.08
0.75,Premium,E,VS2,62.1,57,3024,5.9,5.79,3.63
0.77,Very Good,I,SI2,60.8,56,2159,5.89,5.92,3.59
1.27,Premium,F,VVS2,61.3,60,11905,6.99,6.9,4.26
0.52,Very Good,E,VS2,62.8,58,1571,5.11,5.14,3.22
0.33,Very Good,G,VVS2,61.9,56,692,4.46,4.49,2.77
0.72,Premium,E,VS2,62.5,59,3024,5.73,5.7,3.57
0.31,Ideal,I,IF,60.9,57,635,4.39,4.44,2.69
0.31,Very Good,G,VVS1,59.6,59,642,4.4,4.42,2.63
0.51,Good,F,SI1,64.2,59,1406,5.04,5.02,3.23
0.52,Ideal,D,SI2,61.7,55,1292,5.17,5.2,3.2
0.31,Very Good,G,VS2,60.7,61,544,4.33,4.37,2.64
0.37,Ideal,F,VS1,61.7,56,1041,4.63,4.61,2.85
0.34,Very Good,D,VS2,62.9,55,805,4.43,4.47,2.8
1.1,Ideal,H,SI1,61.6,57,5278,6.63,6.61,4.08
0.41,Ideal,E,SI1,62.7,57,755,4.74,4.77,2.98
1.02,Fair,J,SI1,66.8,55,3027,6.25,6.18,4.15
1.5,Premium,J,VVS2,61.8,60,8603,7.33,7.36,4.54
0.41,Ideal,H,IF,61.1,54,1099,4.8,4.85,2.95
0.57,Premium,D,VS2,61.9,58,1944,5.32,5.35,3.3
0.59,Ideal,G,VS2,61.7,55,2159,5.38,5.41,3.33
0.38,Premium,I,VS1,60.1,60,778,4.72,4.66,2.82
0.32,Ideal,G,VS1,61.7,55,828,4.43,4.39,2.72
0.31,Ideal,E,VS2,61.6,56,680,4.37,4.4,2.7
0.54,Ideal,H,VVS1,60.3,56,1846,5.28,5.33,3.2
1.01,Good,E,I1,63.8,57,3032,6.4,6.33,4.06
1.01,Very Good,H,SI2,63.5,55,3032,6.32,6.27,4
0.7,Fair,H,SI1,65.5,57,2048,5.53,5.59,3.64
0.33,Very Good,E,VS1,61.6,56,781,4.43,4.46,2.74
0.31,Premium,G,VVS1,60.2,59,816,4.38,4.43,2.65
1.51,Premium,I,SI1,61.7,60,9344,7.31,7.27,4.5
0.31,Ideal,G,VVS1,62.4,56,772,4.33,4.36,2.71
0.39,Ideal,G,VS2,62.5,54,857,4.67,4.7,2.93
0.54,Premium,I,IF,58.8,61,1836,5.35,5.29,3.13
0.4,Good,G,IF,59.7,62,1120,4.75,4.8,2.85
0.3,Ideal,D,SI1,61.9,54,552,4.32,4.34,2.68
0.24,Ideal,H,IF,62.1,57,504,4,4.04,2.5
0.37,Premium,E,SI1,60.6,54,833,4.68,4.63,2.82
0.3,Very Good,D,VS2,62.8,59,710,4.26,4.28,2.68
1.5,Ideal,D,VS2,62.6,56,15992,7.27,7.21,4.53
0.72,Very Good,E,VS2,63.8,57,3035,5.66,5.69,3.62
0.71,Ideal,E,VS2,59.5,57,3035,5.83,5.86,3.48
0.72,Ideal,G,VS1,62.4,59,3035,5.71,5.74,3.57
0.78,Ideal,D,SI1,62.4,57,3035,5.87,5.89,3.67
0.41,Premium,D,SI2,62.3,58,683,4.73,4.77,2.96
0.52,Very Good,F,VS2,63.9,57,1550,5.08,5.12,3.26
1.31,Very Good,G,VVS2,62.2,59,11108,6.91,6.98,4.32
1.21,Premium,H,SI1,60.5,60,4743,6.81,6.72,4.09
0.31,Ideal,F,IF,61.1,55,901,4.41,4.43,2.7
1.15,Ideal,H,SI1,63,57,4911,6.71,6.66,4.21
1.72,Very Good,D,SI2,63.4,62,12360,7.59,7.53,4.79
0.7,Very Good,H,SI1,61.5,55,2200,5.72,5.76,3.53
0.3,Very Good,J,VS1,63,59,394,4.24,4.27,2.68
0.43,Ideal,E,VVS1,61,57,1827,4.85,4.88,2.97
0.73,Ideal,E,SI2,60.9,57,2559,5.8,5.83,3.54
0.41,Premium,G,VS2,61.4,59,1061,4.79,4.75,2.93
0.32,Premium,G,VS2,59.8,59,561,4.48,4.52,2.69
0.32,Ideal,D,SI2,59.8,57,612,4.46,4.4,2.65
